
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
357   0.910986   0.82952     0.00793758    -0.481244,  -0.876586       0.1114980.00174852 0.00106807, 0.00182351      -0.522185    {-0.0412224,-0.0750865}, 
358   0.964644  0.927258     0.00232587     0.876586,  -0.481246     0.00143664 0.0536577  0.0977374, 0.00561171       0.170807    {1.19488,-0.655989}, 
359   0.963384  0.927949     0.00134328    -0.333828,  -0.942634     0.001872580.001259340.000691377, 0.00098259      -0.511771    {-0.0113702,-0.0321061}, 
360   0.964009  0.929714      0.0013113    -0.942804,   0.333348    0.0002544580.000625121 0.00176516,3.19827e-05      -0.256042    {-0.226135,0.0799548}, 
361   0.964249  0.929629     0.00128029    -0.442087,  -0.896972      0.06167210.0002399048.48231e-05, 3.1013e-05      -0.538657    {-0.014554,-0.0295293}, 
362   0.991514  0.984947    0.000413415    -0.896973,   0.442086    0.000840255 0.0272645  0.0553182, 0.00086687      -0.189328    {-0.749781,0.36954}, 
363   0.992268  0.984576    5.98267e-05    -0.903188,  -0.429245     1.8541e-050.0007536860.000371465,0.000353588      -0.550005    {-0.00795864,-0.00378238}, 

Eps: 1e-06
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
  1         10        10         810081     0.998752, -0.0499351         13.281         0          0,          0       0.626607    {360018,-18000}, 
  2   -3.26445   10.6632        18.1898    0.0523805,   0.998627     0.00366843   13.2644   0.663189,     810063        0.86223    {0.0690753,1.31691}, 
  3   -3.26464   10.6595        18.1874    -0.998627,  0.0523935    0.0007600350.000192154  0.0036634, 0.00241899       0.314337    {-6.35298,0.333313}, 
  4   -3.26388   10.6595         18.185    0.0494374,   0.998777     0.003773120.0007589913.98209e-05, 0.00241876       0.863114    {0.0651574,1.31637}, 
  5   -3.26407   10.6557        18.1825    -0.998776,  0.0494566    0.0007703050.000186533  0.0037685, 0.00248669       0.311836    {-6.44481,0.319129}, 
  6    -3.2633   10.6557          18.18    0.0468304,   0.998903     0.003869880.0007693623.80967e-05, 0.00248632       0.863885    {0.0616913,1.31589}, 
  7   -3.26348   10.6518        18.1775    -0.998902,   0.046851    0.0007796890.000181228 0.00386563, 0.00254924       0.309619    {-6.52841,0.306199}, 
  8    -3.2627   10.6518        18.1749    0.0443931,   0.999014     0.003963930.0007788333.65292e-05, 0.00254882       0.864597    {0.0584546,1.31545}, 
  9   -3.26287   10.6478        18.1723    -0.999013,  0.0444116    0.0007887990.000175971 0.00396002, 0.00261001       0.307546    {-6.60857,0.293787}, 
 10   -3.26209   10.6478        18.1697    0.0425731,   0.999093     0.004036810.0007880213.50318e-05, 0.00260963       0.865114    {0.0560405,1.31514}, 
 11   -3.26226   10.6437         18.167    -0.999093,  0.0425796     0.000795590.00017186 0.00403315,   0.002657       0.305998    {-6.66987,0.284258}, 
 12   -3.26146   10.6437        18.1644    0.0395254,   0.999219      0.00416250.0007948683.38759e-05, 0.00265692          0.866    {0.052,1.31458}, 
 13   -3.26163   10.6396        18.1617    -0.999218,  0.0395431    0.0008072940.000164524 0.00415925, 0.00273838       0.303407    {-6.77443,0.268091}, 
 14   -3.26082   10.6395        18.1589    0.0362998,   0.999341     0.004302690.0008066633.19229e-05,   0.002738       0.866931    {0.0477291,1.31399}, 
 15   -3.26098   10.6352        18.1561    -0.999341,  0.0363057    0.0008201580.000156187 0.00429986, 0.00282881        0.30064    {-6.88954,0.250295}, 
 16   -3.26016   10.6352        18.1533    0.0326142,   0.999468     0.004471240.0008196172.97764e-05, 0.00282875       0.867989    {0.0428553,1.31331}, 
 17    -3.2603   10.6307        18.1503    -0.999467,  0.0326322    0.0008357850.000145826 0.00446886, 0.00293791       0.297495    {-7.02502,0.229364}, 
 18   -3.25947   10.6307        18.1474    0.0315352,   0.999503     0.004523110.000835342.72735e-05, 0.00293749       0.868263    {0.0414311,1.31315}, 
 19   -3.25961   10.6262        18.1444    -0.999502,  0.0315479    0.0008402550.000142637 0.00452086, 0.00297146       0.296596    {-7.06538,0.223009}, 
 20   -3.25877   10.6262        18.1414    0.0283863,   0.999597     0.004678160.0008398372.65083e-05,  0.0029712       0.869146    {0.0372744,1.31258}, 
 21    -3.2589   10.6215        18.1384    -0.999596,  0.0284056    0.0008542790.000132795 0.00467627, 0.00307181        0.29391    {-7.18671,0.204225}, 
 22   -3.25805   10.6215        18.1353    0.0270528,   0.999634     0.004746820.0008539352.42664e-05, 0.00307132       0.869488    {0.0355167,1.31238}, 
 23   -3.25818   10.6167        18.1322    -0.999634,  0.0270668    0.0008603530.000128415 0.00474508, 0.00311621        0.29279    {-7.23908,0.19601}, 
 24   -3.25732   10.6167        18.1291     0.025148,   0.999684     0.004847120.000860038 2.3287e-05,  0.0031159       0.869995    {0.0330062,1.31207}, 
 25   -3.25744   10.6118        18.1259    -0.999683,   0.025162     0.000869020.000121895 0.00484559, 0.00318114       0.291179    {-7.31532,0.184126}, 
 26   -3.25657   10.6118        18.1227    0.0222654,   0.999752     0.005004780.0008687452.18663e-05, 0.00318081       0.870781    {0.0292095,1.31156}, 
 27   -3.25668   10.6068        18.1194    -0.999752,  0.0222822    0.0008826010.000111433 0.00500353, 0.00328316        0.28872    {-7.43416,0.165691}, 
 28    -3.2558   10.6068        18.1161    0.0194298,   0.999811     0.005167590.0008823821.96663e-05, 0.00328272       0.871544    {0.0254784,1.31106}, 
 29    -3.2559   10.6016        18.1127    -0.999811,  0.0194508    0.0008966250.000100405 0.00516661, 0.00338855       0.286303    {-7.55474,0.146973}, 
 30     -3.255   10.6016        18.1094    0.0179413,   0.999839     0.005256840.000896455  1.744e-05, 0.00338795       0.871916    {0.0235218,1.31083}, 
 31    -3.2551   10.5964        18.1059    -0.999839,  0.0179559    0.0009043029.43146e-05 0.00525599, 0.00344627        0.28505    {-7.61938,0.136835}, 
 32   -3.25419   10.5963        18.1025    0.0167545,    0.99986     0.005329720.0009041561.62375e-05,  0.0034459       0.872199    {0.0219627,1.31067}, 
 33   -3.25428    10.591         18.099    -0.999859,  0.0167664    0.0009102068.92969e-05 0.00532897, 0.00349349       0.284063    {-7.67132,0.128638}, 
 34   -3.25337    10.591        18.0955    0.0134498,    0.99991     0.005539410.0009100781.52609e-05, 0.00349322       0.873078    {0.0176219,1.31008}, 
 35   -3.25345   10.5855        18.0918    -0.999909,  0.0134674     0.000927717.45037e-05 0.00553891, 0.00362925       0.281238    {-7.82144,0.105344}, 
 36   -3.25252   10.5854        18.0882    0.0119756,   0.999928     0.005637420.0009276261.24938e-05, 0.00362873       0.873435    {0.0156876,1.30987}, 
 37   -3.25259   10.5798        18.0845    -0.999928,  0.0119931     0.000935666.75116e-05 0.00563702, 0.00369279       0.280005    {-7.8896,0.094628}, 
 38   -3.25165   10.5798        18.0808   0.00949498,   0.999955       0.0058080.0009355931.12215e-05, 0.00369226       0.874068    {0.0124337,1.30945}, 
 39   -3.25171    10.574         18.077    -0.999955,  0.0095116    0.0009492415.51468e-05 0.00580774,  0.0038032       0.277893    {-8.00803,0.0761727}, 
 40   -3.25076    10.574        18.0732   0.00582188,   0.999983     0.006075230.000949198 9.0288e-06, 0.00380269       0.875023    {0.00761977,1.30879}, 
 41   -3.25079   10.5679        18.0693    -0.999983, 0.00583255    0.0009704983.53693e-05 0.00607513, 0.00397594       0.274736    {-8.19097,0.0477751}, 
 42   -3.24982   10.5679        18.0653   0.00337926,   0.999994     0.006263340.0009704825.66048e-06,  0.0039757        0.87563    {0.00442141,1.30839}, 
 43   -3.24984   10.5616        18.0612    -0.999994, 0.00339278    0.0009852392.11654e-05  0.0062633, 0.00409782       0.272662    {-8.3163,0.0282156}, 
 44   -3.24886   10.5616        18.0571   0.00146502,   0.999999     0.006417540.000985234 3.3427e-06, 0.00409742       0.876086    {0.00191639,1.3081}, 
 45   -3.24887   10.5552        18.0529    -0.999999, 0.00146954    0.0009969439.40183e-06 0.00641754, 0.00419751        0.27104    {-8.41736,0.0123697}, 
 46   -3.24787   10.5552        18.0487  -0.00219737,   0.999998     0.006727630.0009969421.46505e-06, 0.00419757       0.877007    {-0.00287296,1.30745}, 
 47   -3.24786   10.5485        18.0443    -0.999998,-0.00218913     0.001020351.47831e-05 0.00672762, 0.00439828         0.2679    {-8.61827,-0.0188665}, 
 48   -3.24684   10.5485        18.0399  -0.00517283,   0.999987     0.006996540.001020352.23368e-06, 0.00439814       0.877731    {-0.00676073,1.30695}, 
 49    -3.2468   10.5415        18.0353    -0.999987,-0.00515875     0.001040453.6192e-05 0.00699645, 0.00457257       0.265364    {-8.78799,-0.0453356}, 
 50   -3.24576   10.5415        18.0307  -0.00665109,   0.999978     0.007136570.001040445.36741e-06, 0.00457207       0.878052    {-0.00869154,1.30676}, 
 51   -3.24571   10.5344        18.0261    -0.999978,-0.00663772     0.001050724.7466e-05 0.00713642, 0.00466341       0.264136    {-8.87379,-0.0589031}, 
 52   -3.24466   10.5344        18.0214  -0.00906322,   0.999959      0.0073743 0.00105076.97438e-06, 0.00466294       0.878614    {-0.0118404,1.30637}, 
 53   -3.24459    10.527        18.0166    -0.999959,-0.00905619     0.001068056.68349e-05   0.007374, 0.00481723       0.262085    {-9.01925,-0.0816834}, 
 54   -3.24353    10.527        18.0118   -0.0108243,   0.999941     0.007555310.00106801 9.6725e-06, 0.00481716       0.878999    {-0.0141388,1.30613}, 
 55   -3.24345   10.5194        18.0069    -0.999941, -0.0108178     0.001080928.17811e-05 0.00755487, 0.00493462       0.260612    {-9.12743,-0.0987445}, 
 56   -3.24236   10.5195        18.0019   -0.0138037,   0.999905     0.007876870.001080851.16931e-05, 0.00493458       0.879695    {-0.0180243,1.30564}, 
 57   -3.24226   10.5116        17.9968    -0.999905, -0.0137966     0.001103610.00010873 0.00787612, 0.00514293       0.258072    {-9.31824,-0.128572}, 
 58   -3.24115   10.5116        17.9916   -0.0157215,   0.999876       0.008095 0.00110351.52261e-05, 0.00514285       0.880109    {-0.0205249,1.30537}, 
 59   -3.24102   10.5035        17.9863    -0.999876, -0.0157158     0.001118790.000127266   0.008094, 0.00528436       0.256464    {-9.44426,-0.148442}, 
 60   -3.23991   10.5035        17.9811   -0.0178316,   0.999841     0.008345550.001118651.75827e-05, 0.00528437       0.880566    {-0.023275,1.30506}, 
 61   -3.23976   10.4952        17.9756    -0.999841, -0.0178266     0.001135850.000148815 0.00834422,  0.0054468       0.254689    {-9.58707,-0.170932}, 
 62   -3.23862   10.4952        17.9702   -0.0208062,   0.999784     0.008718730.001135672.02484e-05, 0.00544688       0.881235    {-0.0271493,1.30458}, 
 63   -3.23844   10.4865        17.9645    -0.999784, -0.0207975     0.001160860.000181404 0.00871684, 0.00568877        0.25216    {-9.79683,-0.203793}, 
 64   -3.23728   10.4865        17.9588   -0.0233484,   0.999727     0.009058330.001160612.41431e-05, 0.00568854       0.881786    {-0.0304593,1.3042}, 
 65   -3.23707   10.4774        17.9529    -0.999727, -0.0233438     0.001183110.000211498 0.00905586, 0.00590878       0.250006    {-9.98334,-0.233113}, 
 66   -3.23589   10.4775         17.947   -0.0267686,   0.999642     0.009547240.001182792.76184e-05, 0.00590889       0.882545    {-0.0349091,1.30364}, 
 67   -3.23563   10.4679        17.9407    -0.999642, -0.0267645     0.001214470.000255566 0.00954382, 0.00622557       0.247086    {-10.2466,-0.274343}, 
 68   -3.23442    10.468        17.9345   -0.0299864,    0.99955      0.01004430.001214043.25047e-05, 0.00622572        0.88324    {-0.0390938,1.30313}, 
 69   -3.23411   10.4579         17.928     -0.99955,  -0.029983     0.001245560.000301192  0.0100398,  0.0065477       0.244346    {-10.5068,-0.315167}, 
 70   -3.23287    10.458        17.9214   -0.0334695,    0.99944      0.0106271  0.0012453.73455e-05, 0.00654792       0.883985    {-0.043621,1.30258}, 
 71   -3.23251   10.4473        17.9145     -0.99944, -0.0334637     0.001281110.000355685  0.0106212, 0.00692564       0.241379    {-10.8036,-0.361733}, 
 72   -3.23123   10.4474        17.9076   -0.0367513,   0.999324      0.01122440.001280394.28708e-05, 0.00692559       0.884666    {-0.0478851,1.30207}, 
 73   -3.23082   10.4362        17.9003    -0.999325, -0.0367493     0.001316940.00041251  0.0112168, 0.00731267       0.238588    {-11.099,-0.408156}, 
 74    -3.2295   10.4362        17.8929   -0.0381668,   0.999271      0.01149570.001316054.83967e-05, 0.00731304       0.884891    {-0.0497274,1.30195}, 
 75   -3.22907   10.4247        17.8855    -0.999272, -0.0381625     0.001332840.000438753  0.0114873, 0.00748928       0.237454    {-11.2272,-0.42877}, 
 76   -3.22773   10.4248         17.878   -0.0420683,   0.999115      0.01230210.001331875.08646e-05, 0.00748934       0.885697    {-0.0547932,1.30133}, 
 77   -3.22722   10.4125          17.87    -0.999115, -0.0420659     0.001379110.000517528  0.0122912, 0.00801202       0.234125    {-11.6093,-0.488788}, 
 78   -3.22584   10.4125        17.8619   -0.0439083,   0.999036      0.01270970.001377895.80135e-05, 0.00801229       0.886004    {-0.0571857,1.30113}, 
 79   -3.22528   10.3998        17.8537    -0.999036, -0.0439064     0.001401970.000558063  0.0126975, 0.00827694       0.232624    {-11.7941,-0.518338}, 
 80   -3.22388   10.3999        17.8454   -0.0477891,   0.998857      0.01364340.001400626.15555e-05, 0.00827726       0.886774    {-0.0622225,1.30053}, 
 81   -3.22323   10.3863        17.8365    -0.998858,  -0.047788     0.001453090.000652004  0.0136278, 0.00888248       0.229324    {-12.2132,-0.584312}, 
 82   -3.22178   10.3863        17.8276   -0.0490918,   0.998794      0.01397540.001451436.94401e-05, 0.00888282       0.886937    {-0.0639194,1.30047}, 
 83   -3.22109   10.3724        17.8185    -0.998794, -0.0490899     0.001471310.000686076  0.0139585, 0.00909884       0.228313    {-12.3537,-0.607175}, 
 84   -3.21962   10.3725        17.8094   -0.0512177,   0.998688      0.01454760.001469537.22264e-05, 0.00909901       0.887282    {-0.0666828,1.30024}, 
 85   -3.21888   10.3579           17.8    -0.998688, -0.0512167     0.001501680.000745094  0.0145285, 0.00947074       0.226576    {-12.5966,-0.646002}, 
 86   -3.21738    10.358        17.7905   -0.0540574,   0.998538      0.01536990.001499717.69109e-05, 0.00947099       0.887778    {-0.0703708,1.29988}, 
 87   -3.21655   10.3427        17.7805    -0.998538,  -0.054056     0.001544190.000830854  0.0153474,  0.0100049       0.224216    {-12.9393,-0.700469}, 
 88     -3.215   10.3427        17.7705   -0.0563751,    0.99841      0.01609060.001541938.34727e-05,  0.0100049       0.888143    {-0.0733834,1.29963}, 
 89    -3.2141   10.3267          17.76     -0.99841, -0.0563721     0.001580630.000907106   0.016065,  0.0104737       0.222326    {-13.23,-0.746989}, 
 90   -3.21252   10.3268        17.7495   -0.0595271,   0.998227      0.01715820.001578128.91035e-05,  0.0104732       0.888681    {-0.0774764,1.29922}, 
 91    -3.2115   10.3096        17.7384    -0.998227, -0.0595251     0.001633180.00102138  0.0171278,  0.0111673       0.219704    {-13.6517,-0.814064}, 
 92   -3.20987   10.3097        17.7272   -0.0612908,    0.99812      0.01779450.001630299.72154e-05,  0.0111668       0.888897    {-0.0797737,1.29911}, 
 93   -3.20878    10.292        17.7156     -0.99812, -0.0612885     0.001664440.00109064   0.017761,  0.0115819       0.218322    {-13.8918,-0.85301}, 
 94   -3.20711   10.2921         17.704   -0.0623861,   0.998052      0.01820050.001661310.000102011,   0.011581       0.888959    {-0.0812069,1.29915}, 
 95   -3.20598   10.2739        17.6922    -0.998052, -0.0623852     0.001684640.00113546   0.018165,  0.0118471       0.217538    {-14.0385,-0.877501}, 
 96    -3.2043    10.274        17.6803   -0.0638444,    0.99796      0.01876710.001681360.000105097,  0.0118465       0.889095    {-0.0831106,1.29911}, 
 97    -3.2031   10.2553        17.6681     -0.99796, -0.0638428      0.00171180.00119817  0.0187288,   0.012217        0.21644    {-14.2436,-0.911209}, 
 98   -3.20139   10.2554        17.6559   -0.0666288,   0.997778      0.01994190.001708310.000109286,  0.0122159       0.889508    {-0.0867314,1.29882}, 
 99   -3.20006   10.2355        17.6429    -0.997778, -0.0666278     0.001765920.00132871  0.0198976,  0.0129815       0.214173    {-14.6695,-0.979575}, 
100    -3.1983   10.2356        17.6299   -0.0684806,   0.997652      0.02077430.001761990.000117659,    0.01298       0.889706    {-0.089147,1.29873}, 
101   -3.19688   10.2149        17.6164    -0.997653, -0.0684797     0.001803790.00142264  0.0207256,  0.0135244       0.212746    {-14.9587,-1.02678}, 
102   -3.19508    10.215        17.6029   -0.0712705,   0.997457      0.02214130.001799560.000123523,  0.0135225        0.89009    {-0.092778,1.29846}, 
103    -3.1935   10.1929        17.5885    -0.997457, -0.0712683     0.001863640.00157802   0.022085,  0.0144148       0.210499    {-15.4272,-1.10228}, 
104   -3.19164   10.1931        17.5741   -0.0743437,   0.997233      0.0238085 0.00185890.000132818,  0.0144117       0.890513    {-0.0967777,1.29816}, 
105   -3.18987   10.1693        17.5586    -0.997233, -0.0743432     0.001934410.00177001  0.0237426,  0.0155005       0.208016    {-15.9799,-1.19129}, 
106   -3.18794   10.1695        17.5431   -0.0762808,   0.997086      0.02493540.00192906 0.00014381,  0.0154965       0.890677    {-0.0993099,1.29811}, 
107   -3.18604   10.1446        17.5268    -0.997086, -0.0762792     0.001981570.00190209  0.0248628,  0.0162366       0.206559    {-16.335,-1.24966}, 
108   -3.18406   10.1448        17.5106   -0.0797102,   0.996818      0.02717210.001975790.000151152,  0.0162313       0.891133    {-0.103776,1.29777}, 
109    -3.1819   10.1177        17.4929    -0.996818,  -0.079709      0.00207090.00216589  0.0270856,  0.0176943       0.203796    {-17.0297,-1.36176}, 
110   -3.17983   10.1178        17.4752   -0.0816098,   0.996664      0.02850420.002064310.000165069,  0.0176866       0.891247    {-0.106265,1.29777}, 
111   -3.17751   10.0894        17.4567    -0.996664, -0.0816088     0.002123790.00232622  0.0284091,  0.0185655       0.202413    {-17.4194,-1.42633}, 
112   -3.17539   10.0896        17.4381   -0.0836208,   0.996498      0.0300203 0.0021167 0.00017332,  0.0185561       0.891367    {-0.108902,1.29777}, 
113   -3.17288   10.0597        17.4185    -0.996498, -0.0836201      0.00218220.00251032  0.0299152,  0.0195573       0.200947    {-17.8518,-1.49802}, 
114   -3.17071   10.0599         17.399   -0.0876787,   0.996149      0.03355920.002174560.000182476,  0.0195458       0.891876    {-0.114192,1.29738}, 
115   -3.16776   10.0264        17.3771    -0.996149,  -0.087678      0.00231050.00294242  0.0334299,  0.0218667       0.197697    {-18.8431,-1.65851}, 
116   -3.16546   10.0266        17.3553   -0.0903179,   0.995913      0.03613910.00230161 0.00020258,  0.0218488       0.892058    {-0.117653,1.29733}, 
117    -3.1622   9.99065        17.3317    -0.995913, -0.0903176     0.002401610.00326401  0.0359914,  0.0235548       0.195741    {-19.5201,-1.77025}, 
118   -3.15981   9.99087        17.3082   -0.0929087,   0.995675      0.03894460.002391790.000216907,  0.0235314       0.892199    {-0.121056,1.29732}, 
119   -3.15619   9.95209        17.2828    -0.995675, -0.0929081     0.00249756 0.0036183  0.0387762,  0.0253926       0.193863    {-20.2257,-1.88729}, 
120    -3.1537   9.95232        17.2574    -0.095523,   0.995427      0.04209140.002486760.000232044,  0.0253616        0.89231    {-0.124496,1.29735}, 
121   -3.14968   9.91042          17.23    -0.995427, -0.0955219     0.00260178 0.0040207   0.041899,  0.0274563       0.192003    {-20.984,-2.01364}, 
122   -3.14709   9.91067        17.2026   -0.0970987,   0.995275      0.04404770.002589880.000248527,  0.0274148       0.892184    {-0.126597,1.29764}, 
123   -3.14281   9.86683        17.1738    -0.995275, -0.0970982     0.002667410.00427698  0.0438396,   0.028746       0.191093    {-21.4221,-2.08992}, 
124   -3.14016   9.86709        17.1451   -0.0990122,   0.995086      0.04664660.002654810.000259001,  0.0286978       0.892098    {-0.129142,1.29789}, 
125   -3.13554   9.82067        17.1147    -0.995086, -0.0990115     0.002751510.00461859  0.0464174,  0.0304582       0.189916    {-21.9961,-2.18862}, 
126    -3.1328   9.82095        17.0843   -0.0999242,   0.994995      0.04776630.002737980.000272431,  0.0303992       0.891791    {-0.130393,1.29839}, 
127   -3.12803   9.77342        17.0531    -0.994995, -0.0999234     0.002791070.00477301  0.0475272,  0.0312063       0.189649    {-22.2099,-2.23045}, 
128   -3.12525    9.7737        17.0219     -0.10267,   0.994716      0.0521565 0.00277710.000278893,   0.031142       0.891815    {-0.134028,1.29853}, 
129    -3.1199   9.72182        16.9878    -0.994716,  -0.102669     0.002924010.00535489  0.0518808,  0.0340964       0.187801    {-23.148,-2.38922}, 
130   -3.11699   9.72212        16.9538    -0.104655,   0.994509      0.05552030.002908560.000300207,  0.0340106       0.891644    {-0.136686,1.2989}, 
131   -3.11118    9.6669        16.9175    -0.994509,  -0.104654     0.003025150.00581047  0.0552155,  0.0363213       0.186676    {-23.8186,-2.50648}, 
132   -3.10817   9.66722        16.8813    -0.107786,   0.994174      0.06179190.003008540.000316595,  0.0362153       0.891643    {-0.140842,1.29908}, 
133   -3.10151   9.60579        16.8408    -0.994174,  -0.107785     0.003201370.00666028  0.0614319,  0.0404608        0.18461    {-25.0483,-2.71566}, 
134   -3.09833   9.60613        16.8005    -0.108693,   0.994075        0.063210.00318272 0.00034506,  0.0403109       0.891157    {-0.142124,1.29982}, 
135   -3.09146    9.5433        16.7591    -0.994075,  -0.108693     0.003248860.00687051  0.0628355,  0.0414218       0.184548    {-25.2594,-2.76189}, 
136   -3.08823   9.54365        16.7178    -0.110821,    0.99384      0.06783280.003229610.000353128,  0.0412601       0.890873    {-0.144997,1.30033}, 
137   -3.08071   9.47623        16.6733     -0.99384,   -0.11082     0.003377420.00751728   0.067415,  0.0444952       0.183464    {-26.0784,-2.90793}, 
138   -3.07735   9.47661         16.629    -0.112712,   0.993628      0.07214650.003356620.000374287,  0.0442923       0.890487    {-0.147576,1.30098}, 
139   -3.06922   9.40492        16.5817    -0.993628,  -0.112711     0.003496440.00813177  0.0716868,  0.0473754        0.18265    {-26.7985,-3.03987}, 
140   -3.06575   9.40532        16.5345     -0.11448,   0.993426      0.07635340.003474160.000394089,  0.0471281       0.890023    {-0.150006,1.30172}, 
141   -3.05701   9.32946        16.4843    -0.993426,  -0.114479      0.00361150.00874091  0.0758514,  0.0501951       0.182008    {-27.4642,-3.16489}, 
142   -3.05342   9.32988        16.4344    -0.117151,   0.993114      0.08402630.003587760.000413442,  0.0498993       0.889665    {-0.15363,1.30234}, 
143   -3.04357   9.24643        16.3791    -0.993114,  -0.117151     0.003805180.00984381  0.0834477,  0.0553224       0.180669    {-28.6841,-3.38367}, 
144    -3.0398   9.24688        16.3242    -0.119059,   0.992887      0.08944190.003778980.000445781,  0.0549237        0.88907    {-0.156276,1.30326}, 
145   -3.02915   9.15807        16.2652    -0.992887,  -0.119058     0.00394495 0.0106488  0.0888057,  0.0589753       0.180091    {-29.459,-3.53246}, 
146   -3.02523   9.15854        16.2067    -0.120713,   0.992687      0.09405560.003916890.000469679,  0.0584906       0.888354    {-0.15861,1.30434}, 
147   -3.01388   9.06517        16.1446    -0.992687,  -0.120713     0.00406642 0.0113537  0.0933678,  0.0621119       0.179811    {-30.065,-3.65596}, 
148   -3.00984   9.06566        16.0831    -0.122926,   0.992416       0.1014240.004036680.000490869,  0.0615442       0.887669    {-0.161692,1.30538}, 
149   -2.99737   8.96501         16.016    -0.992416,  -0.122926     0.00424618 0.0124677   0.100655,  0.0671053       0.179148    {-31.0528,-3.84638}, 
150   -2.99316   8.96553        15.9496    -0.124078,   0.992273        0.103850.004213970.000521967,  0.0663892       0.886688    {-0.163407,1.3068}, 
151   -2.98027   8.86248        15.8808    -0.992273,  -0.124077      0.0043226 0.0128855   0.103048,  0.0688176       0.179476    {-31.2581,-3.90863}, 
152   -2.97598   8.86302        15.8127    -0.125803,   0.992055        0.10915 0.00428920.000536338,  0.0680413       0.885759    {-0.165887,1.30815}, 
153   -2.96225   8.75473        15.7403    -0.992055,  -0.125803     0.00445909 0.0137314   0.108283,  0.0724687       0.179388    {-31.862,-4.04041}, 
154   -2.95783    8.7553        15.6687    -0.128217,   0.991746       0.1184640.004423660.000560965,  0.0715614       0.884865    {-0.169294,1.30947}, 
155   -2.94264   8.63781        15.5898    -0.991746,  -0.128217     0.00467638 0.0151892   0.117486,  0.0788512       0.178843    {-32.9754,-4.2632}, 
156     -2.938   8.63841        15.5122    -0.128923,   0.991655       0.1177860.004637790.000599593,  0.0776867       0.883522    {-0.170486,1.31135}, 
157   -2.92282   8.52161        15.4336    -0.991655,  -0.128923     0.00469713 0.0151854   0.116803,  0.0785212       0.179819    {-32.6871,-4.24959}, 
158   -2.91816   8.52221        15.3563     -0.13123,   0.991352       0.1267060.004657940.000605568,  0.0773609       0.882442    {-0.173795,1.3129}, 
159   -2.90153    8.3966        15.2716    -0.991352,   -0.13123      0.0049076 0.0166276    0.12561,  0.0846997       0.179542    {-33.6595,-4.45565}, 
160   -2.89667   8.39724        15.1883    -0.132073,    0.99124       0.1261810.004865160.000644022,  0.0832486       0.880949    {-0.175209,1.31498}, 
161      -2.88   8.27217        15.1038     -0.99124,  -0.132073     0.00493695 0.0166651   0.125075,  0.0844961       0.180573    {-33.3711,-4.44637}, 
162   -2.87511   8.27282        15.0208     -0.13421,   0.990953       0.133959 0.00489370.000652038,  0.0830417       0.879656    {-0.178341,1.3168}, 
163   -2.85713   8.14007        14.9308    -0.990953,   -0.13421     0.00512802 0.0179785   0.132747,  0.0899634       0.180619    {-34.1203,-4.62108}, 
164   -2.85205   8.14076        14.8426    -0.135736,   0.990745       0.1373390.00508163 0.00068823,   0.088212       0.878104    {-0.180701,1.31895}, 
165    -2.8334   8.00469        14.7501    -0.990745,  -0.135736     0.00523776 0.0186419   0.136068,  0.0924631       0.181286    {-34.2845,-4.69713}, 
166   -2.82822   8.00541        14.6596    -0.138092,   0.990419       0.1465030.005189290.000710954,  0.0905531       0.876606    {-0.184186,1.32102}, 
167   -2.80798   7.86031        14.5606    -0.990419,  -0.138091      0.0054586 0.0202308   0.145099,  0.0989744       0.181414    {-35.0997,-4.89386}, 
168   -2.80258   7.86106         14.464    -0.140201,   0.990123       0.153518 0.00540630.000753786,  0.0966412       0.874877    {-0.187391,1.32338}, 
169   -2.78105   7.70906        14.3599    -0.990123,  -0.140201     0.00564284 0.0215233   0.152001,   0.104069       0.181915    {-35.6018,-5.0412}, 
170   -2.77547   7.70985        14.2586    -0.142138,   0.989847        0.15862 0.00558710.000791131,   0.101358       0.872949    {-0.190407,1.326}, 
171   -2.75292   7.55284        14.1507    -0.989847,  -0.142138     0.00579653 0.0225459    0.15701,   0.107889       0.182702    {-35.847,-5.14746}, 
172   -2.74718   7.55366        14.0458     -0.14372,   0.989618       0.1601450.005737680.000823904,   0.104859       0.870803    {-0.192991,1.32888}, 
173   -2.72417   7.39518        13.9366    -0.989618,   -0.14372     0.00588964  0.023016   0.158482,   0.109248       0.183882    {-35.6806,-5.18181}, 
174   -2.71834   7.39603        13.8305    -0.145622,    0.98934       0.163867 0.0058285 0.00084646,   0.106072       0.868609    {-0.196032,1.33181}, 
175   -2.69448   7.23391        13.7183     -0.98934,  -0.145622     0.00602613 0.0238628   0.162121,   0.112173       0.184913    {-35.7313,-5.25934}, 
176   -2.68851   7.23479        13.6096     -0.14829,   0.988944       0.1736740.005961890.000877539,   0.108714       0.866406    {-0.20014,1.33473}, 
177   -2.66276   7.06303        13.4901    -0.988944,   -0.14829     0.00627751 0.0257541   0.171754,   0.119451       0.185528    {-36.3636,-5.45263}, 
178   -2.65655   7.06396        13.3749     -0.15037,    0.98863       0.1770710.00620811 0.00093089,   0.115291       0.863827    {-0.203527,1.33812}, 
179   -2.62993    6.8889        13.2526     -0.98863,   -0.15037     0.00642141 0.0266261   0.175057,   0.122265       0.186789    {-36.303,-5.52166}, 
