
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
 41    -2.9067   8.41604        15.3705    -0.989953,  -0.141394     0.00665204 0.0341779   0.239285,   0.164347        0.17039    {-46.0488,-6.5771}, 
 42   -2.90012   8.41698        15.2149    -0.368285,   0.929713      0.00462670.006585210.000940559,   0.155594       0.898092    {-0.498662,1.25884}, 
 43   -2.89841   8.41268        15.2117      0.92916,   0.369679     0.000933340.00170395  0.0043015, 0.00315296      0.0421197    {5.96842,2.37462}, 
 44   -2.89928   8.41234        15.2086    -0.196292,   0.980545       0.3556740.0008672220.000345036, 0.00310947       0.890871    {-0.260249,1.30003}, 
 45   -2.82947   8.06358        14.9978     0.980545,   0.196294     0.00887106  0.069816   0.348754,   0.210838      -0.124831    {57.6499,11.5408}, 
 46   -2.83816   8.06184        14.7359   -0.0837059,   0.996491      0.02454290.00869848 0.00174133,   0.261841       0.866373    {-0.111941,1.33262}, 
 47   -2.83611   8.03738        14.7195    -0.996502, -0.0835745     0.002209370.00205438  0.0244567,  0.0164399       0.226236    {-14.6337,-1.2273}, 
 48   -2.83391   8.03757        14.7031     -0.19809,   0.980184        3.914910.002201640.000184647,  0.0163863       0.886284    {-0.263995,1.30629}, 
 49    -2.0584   4.20024        9.48911    -0.980185,  -0.198085      0.0103454  0.775507    3.83733,    5.21401       0.208826    {-36.4011,-7.35625}, 
 50   -2.04826   4.20229        9.29667    -0.299627,   0.954056       0.108763 0.0101404 0.00204927,   0.192434        0.81463    {-0.434104,1.38225}, 
 51   -2.01567   4.09852        9.22089     0.954048,   0.299655     0.00685787 0.0325884   0.103766,   0.075782      -0.124818    {22.6574,7.11643}, 
 52   -2.02222   4.09646        9.13884    -0.202924,   0.979194       0.2427880.00654273 0.00205499,  0.0820517       0.794049    {-0.294619,1.42166}, 
 53   -1.97295   3.85873        8.95264    -0.979196,  -0.202918      0.0100517 0.0492676   0.237737,   0.186202       0.215397    {-32.6171,-6.75924}, 
 54   -1.96311   3.86077        8.78487    -0.301559,   0.953447        0.172670.00984256 0.00203967,   0.167766       0.801514    {-0.441806,1.39687}, 
 55   -1.91104   3.69614        8.66843     0.953446,   0.301564     0.00934631 0.0520703   0.164632,    0.11644      -0.137077    {27.8735,8.81604}, 
 56   -1.91995   3.69332        8.53116    -0.251104,    0.96796       0.9562410.00891121 0.00281851,   0.137272        0.78587    {-0.369564,1.4246}, 
 57   -1.67983   2.76771        7.47436    -0.967961,  -0.251102      0.0176049  0.240116   0.925604,    1.05681       0.219707    {-41.7225,-10.8234}, 
 58   -1.66279   2.77213        7.09573    -0.321637,   0.946863          1.483 0.0170409 0.00442063,   0.378628       0.746505    {-0.493561,1.45299}, 
 59    -1.1858   1.36793        4.92356    -0.946866,  -0.321629      0.0181137  0.476989     1.4042,    2.17216       0.242968    {-22.4854,-7.63779}, 
 60   -1.16865   1.37376        4.70947    -0.344662,   0.938727        0.26861 0.0171513 0.00582591,   0.214094       0.603644    {-0.588834,1.60376}, 
 61   -1.07607   1.12161        4.44196    -0.938734,  -0.344643       0.018937 0.0925794   0.252151,   0.267508        0.24413    {-19.7842,-7.2635}, 
 62   -1.05829   1.12814        4.24322    -0.378192,   0.925727       0.271649 0.0177768 0.00652652,   0.198748       0.567209    {-0.666015,1.63025}, 
 63  -0.955558  0.876663         3.9569    -0.925737,  -0.378169      0.0210553  0.102736   0.251473,   0.286311       0.240802    {-17.8346,-7.28555}, 
 64  -0.936066  0.884625        3.75542    -0.395923,   0.918284       0.190804 0.0194917 0.00796247,   0.201487       0.517037    {-0.72483,1.68113}, 
 65  -0.860522  0.709413        3.55817    -0.918297,  -0.395893      0.0202692 0.0755438   0.175213,   0.197242       0.240806    {-14.421,-6.21714}, 
 66  -0.841909  0.717437        3.40007    -0.411444,   0.911435       0.147412 0.0186131 0.00802442,   0.158105       0.474944    {-0.778817,1.72525}, 
 67  -0.781257   0.58308        3.24731    -0.911449,  -0.411414      0.0198575 0.0606519   0.134357,    0.15276         0.2391    {-12.0884,-5.4565}, 
 68  -0.763158   0.59125        3.11654    -0.424086,   0.905622       0.117957 0.0180991 0.00816965,    0.13077        0.43711    {-0.82789,1.76793}, 
 69  -0.713134  0.484425        2.99308    -0.905669,  -0.423986      0.0195245  0.050024   0.106825,   0.123462       0.236546    {-10.3109,-4.82701}, 
 70  -0.695451  0.492703        2.88275    -0.434474,   0.900684      0.0972373 0.0176827 0.00827811,   0.110332       0.402703    {-0.873178,1.81014}, 
 71  -0.653204  0.405123        2.77954    -0.900718,  -0.434403      0.0193187 0.0422471  0.0875801,   0.103211       0.233155    {-8.93773,-4.31053}, 
 72  -0.635804  0.413515        2.68444    -0.442328,   0.896854      0.0815555 0.0174007 0.00839209,  0.0950912       0.370836    {-0.914296,1.8538}, 
 73  -0.599729  0.340372         2.5964    -0.896906,   -0.44222      0.0191429 0.0360742  0.0731433,  0.0880489       0.229276    {-7.83018,-3.86067}, 
 74   -0.58256  0.348837        2.51345    -0.452609,   0.891709      0.0719162 0.0171694 0.00846536,  0.0829486       0.342304    {-0.960448,1.89223}, 
 75   -0.55001  0.284709        2.43422    -0.891761,  -0.452507      0.0193973 0.0325499  0.0641283,  0.0792248        0.22333    {-7.01655,-3.56042}, 
 76  -0.532712  0.293486        2.35862    -0.457179,   0.889375      0.0620082 0.0172977 0.00877741,  0.0755988       0.313743    {-0.997655,1.94079}, 
 77  -0.504363  0.238338        2.28885    -0.889468,  -0.456997      0.0193973 0.0283489  0.0551486,  0.0697711       0.218055    {-6.24567,-3.20894}, 
 78   -0.48711  0.247202        2.22135    -0.464129,   0.885768      0.0554961 0.0172533 0.00886449,  0.0675035       0.287823    {-1.04021,1.98519}, 
 79  -0.461353  0.198046        2.15746    -0.885927,  -0.463824      0.0197303 0.0257573  0.0491567,  0.0638905       0.210954    {-5.65407,-2.96017}, 
 80  -0.443873  0.207197        2.09512    -0.469324,   0.883026      0.0498532 0.0174796 0.00915139,  0.0623386       0.262631    {-1.08144,2.03471}, 
 81  -0.420476  0.163175        2.03632    -0.883237,  -0.468927       0.020142 0.0233973  0.0440217,  0.0588049       0.203209    {-5.13249,-2.72494}, 
 82  -0.402686   0.17262        1.97848    -0.471761,   0.881726      0.0448108 0.0177901 0.00944511,  0.0578368       0.237932    {-1.1198,2.09291}, 
 83  -0.381546   0.13311        1.92421    -0.881956,  -0.471333      0.0205836   0.02114  0.0395109,  0.0542651       0.194978    {-4.66588,-2.49353}, 
 84  -0.363392  0.142811        1.87041    -0.475554,   0.879687      0.0410601 0.0181538 0.00970174,  0.0538029       0.214637    {-1.1631,2.15151}, 
 85  -0.343866  0.106691        1.81932    -0.879816,  -0.475315      0.0212497 0.0195263    0.03612,  0.0510896       0.185162    {-4.27671,-2.31046}, 
 86   -0.32517  0.116792         1.7683    -0.480736,   0.876866      0.0380814 0.0186958  0.0101003,  0.0510216       0.192293    {-1.21229,2.21123}, 
 87  -0.306863 0.0833993        1.71948    -0.877271,  -0.479995      0.0221702 0.0183071  0.0333922,  0.0488192       0.173878    {-3.93513,-2.15309}, 
 88  -0.287414 0.0940409        1.67051    -0.482652,   0.875812      0.0352599 0.0194492  0.0106416,  0.0489718       0.169749    {-1.26027,2.28687}, 
 89  -0.270395 0.0631598        1.62381    -0.876093,  -0.482142      0.0232479 0.0170182  0.0308811,  0.0466961       0.161574    {-3.61737,-1.99075}, 
 90  -0.250028 0.0743686        1.57662    -0.484877,   0.874583      0.0329472 0.0203673  0.0112088,  0.0471888       0.147737    {-1.31446,2.37092}, 
