
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
 45    8.22958   8.22888        52.2669     0.999953,-0.00969622      0.0703897 0.0011558  0.0730448,   0.523338       0.644839    {14.6007,-0.141579}, 
 46     8.1592   8.22956        51.7492    0.0174926,   0.999847      0.0725451 0.07038640.000682514,   0.517757       0.664963    {0.246196,14.0722}, 
 47    8.15793   8.15702         51.236     0.999922,  -0.012471      0.0695664  0.001269   0.072534,   0.513154       0.642574    {14.4967,-0.180801}, 
 48    8.08837   8.15789        50.7283    0.0195454,   0.999809      0.0717218  0.0695610.000867559,   0.507702       0.665796    {0.271829,13.9049}, 
 49    8.08697   8.08618        50.2251      0.99994, -0.0109097      0.06905760.00140183  0.0717081,   0.503176       0.643147    {14.3303,-0.156348}, 
 50    8.01791   8.08694        49.7275    0.0167164,    0.99986      0.0708985 0.06905350.000753395,   0.497605       0.663535    {0.230803,13.805}, 
 51    8.01673   8.01605        49.2345     0.999954,-0.00957422      0.06823430.00118517  0.0708886,   0.493034       0.643567    {14.1691,-0.135665}, 
 52     7.9485    8.0167        48.7468    0.0187465,   0.999824      0.0703897 0.0682311 0.00065329,   0.487702       0.664347    {0.255771,13.6412}, 
 53    7.94718   7.94632        48.2633     0.999927, -0.0121095       0.0674110.00131956  0.0703773,   0.483471       0.641454    {14.0647,-0.170329}, 
 54    7.87977   7.94714        47.7851    0.0211767,   0.999776      0.0700752  0.0674060.000816313,   0.478211       0.665405    {0.285401,13.4741}, 
 55    7.87829   7.87708         47.311     0.999852, -0.0172125      0.06658770.00148396  0.0700595,   0.474152        0.63765    {13.9975,-0.240968}, 
 56    7.81171   7.87823        46.8419    0.0240159,   0.999712      0.0695664 0.0665778 0.00114614,   0.469116        0.66671    {0.319596,13.3038}, 
 57    7.81004   7.80868        46.3768     0.999809, -0.0195266        0.06557 0.0016707  0.0695463,   0.465053        0.63567    {13.8914,-0.271303}, 
 58    7.74448   7.80996        45.9168    0.0299712,   0.999551      0.0690576 0.0655575 0.00128036,   0.460004        0.66995    {0.392687,13.0963}, 
 59    7.74241   7.74094        45.4603     0.999771, -0.0214094      0.06525560.00206974  0.0690265,   0.456478       0.633969    {13.7799,-0.295087}, 
 60    7.67717   7.74233        45.0092    0.0246917,   0.999695      0.0682343 0.0652406 0.00139708,   0.451107       0.666161    {0.321891,13.0324}, 
 61    7.67549   7.67412        44.5623     0.999799, -0.0200543      0.06443230.00168482  0.0682135,   0.446922       0.634399    {13.6242,-0.27328}, 
 62    7.61107   7.67541        44.1202    0.0274295,   0.999624      0.0679198 0.0644193 0.00129214,   0.442069       0.667382    {0.353123,12.869}, 
 63     7.6092   7.60752        43.6818     0.999691, -0.0248704      0.0634146  0.001863  0.0678942,   0.438374       0.630761    {13.5556,-0.337238}, 
 64    7.54581   7.60909        43.2481    0.0343023,   0.999412       0.067411  0.063395 0.00157714,   0.433735       0.671159    {0.434426,12.6572}, 
 65     7.5435   7.54172        42.8176     0.999652, -0.0263716      0.06310010.00231235  0.0673713,   0.430464       0.629303    {13.4416,-0.3546}, 
 66    7.48042   7.54339        42.3923    0.0291277,   0.999576      0.0665877 0.0630782 0.00166405,   0.425327       0.667446    {0.366986,12.5938}, 
 67    7.47848   7.47683        41.9709     0.999691,  -0.024838      0.06208250.00193955  0.0665594,   0.421374       0.629846    {13.2871,-0.330126}, 
 68    7.41641   7.47837        41.5542    0.0356395,   0.999365      0.0665877 0.0620633   0.001542,   0.416734        0.67098    {0.441887,12.3909}, 
 69    7.41404   7.41182        41.1404     0.999442, -0.0333988      0.06125920.00237315  0.0665454,   0.413795        0.62371    {13.2716,-0.443503}, 
 70    7.35282   7.41387         40.731    0.0404997,    0.99918      0.0660788  0.061225 0.00204599,    0.40939       0.673463    {0.494935,12.2107}, 
 71    7.35014   7.34785        40.3248     0.999392, -0.0348588      0.06043590.00267617  0.0660246,   0.406221       0.622269    {13.1593,-0.458995}, 
 72    7.28974   7.34995        39.9234    0.0445738,   0.999006        0.06557 0.0603992 0.00210672,    0.40143       0.675444    {0.5373,12.0422}, 
 73    7.28682   7.28445        39.5246      0.99934, -0.0363227      0.0599271 0.0029227  0.0655049,   0.398731       0.620821    {13.0479,-0.474248}, 
 74    7.22693   7.28662         39.131    0.0431191,    0.99907      0.0647467 0.0598875 0.00217671,   0.393654       0.674035    {0.515261,11.9386}, 
 75    7.22414   7.22194        38.7404     0.999417, -0.0341449      0.05961260.00279182  0.0646865,   0.390602       0.621791    {12.8886,-0.440337}, 
 76    7.16456   7.22397        38.3548    0.0375754,   0.999294      0.0639234 0.0595778 0.00203547,   0.385603       0.670115    {0.446798,11.8823}, 
 77    7.16216   7.16009        37.9726     0.999475, -0.0324032      0.05878930.00240195  0.0638783,   0.382156       0.622464    {12.7373,-0.412945}, 
 78     7.1034     7.162        37.5949    0.0415238,   0.999138      0.0634146 0.0587584 0.00190496,   0.377751       0.672014    {0.487067,11.7197}, 
 79    7.10077   7.09864        37.2198     0.999432, -0.0336865      0.05828050.00263321  0.0633599,   0.375064       0.621132    {12.6271,-0.425606}, 
 80    7.04252    7.1006        36.8494    0.0402988,   0.999188      0.0625913 0.0582474 0.00196327,   0.370409       0.670738    {0.468512,11.6165}, 
 81       7.04   7.03806        36.4819     0.999518, -0.0310344      0.05777170.00252235  0.0625405,   0.367461       0.622399    {12.4671,-0.387095}, 
 82    6.98225   7.03986        36.1192    0.0385344,   0.999257      0.0620825 0.0577438 0.00179291,   0.362795       0.669129    {0.444256,11.5203}, 
 83    6.97986   6.97782        35.7592     0.999455,  -0.033015      0.05694840.00239231  0.0620364,    0.35999       0.620603    {12.3683,-0.408561}, 
 84    6.92294    6.9797        35.4034    0.0435636,   0.999051       0.061768 0.0569173 0.00188015,   0.355784       0.671668    {0.494957,11.3509}, 
 85    6.92025   6.91799        35.0499     0.999322, -0.0368063      0.05643950.00269084  0.0617094,   0.353465       0.617605    {12.2933,-0.452777}, 
 86    6.86385   6.92007        34.7008    0.0430765,   0.999072      0.0612592 0.0564013 0.00207733,   0.349142       0.670835    {0.484757,11.2429}, 
 87    6.86121   6.85886        34.3544     0.999259, -0.0385004      0.05561620.00263883  0.0612023,   0.346398        0.61599    {12.1922,-0.469752}, 
 88    6.80564   6.86101         34.012    0.0485073,   0.998823      0.0609447  0.055575 0.00214125,   0.342381       0.673589    {0.537778,11.0735}, 
 89    6.80268   6.80013        33.6718     0.999116, -0.0420458      0.05479290.00295626   0.060873,   0.340223       0.613143    {12.1152,-0.509845}, 
 90    6.74794   6.80244        33.3358    0.0546037,   0.998508      0.0609447 0.0547445 0.00230381,   0.335968       0.676715    {0.596059,10.8998}, 
 91    6.74461   6.74158        33.0015      0.99875, -0.0499914      0.05428410.00332781  0.0608538,   0.334344       0.607351    {12.0946,-0.605382}, 
 92    6.69039    6.7443        32.6711    0.0555855,   0.998454      0.0604359 0.0542162 0.00271374,   0.330325       0.676749    {0.600173,10.7806}, 
 93    6.68703   6.68395        32.3433     0.998683, -0.0513087      0.05346080.00335936  0.0603425,   0.327826       0.605974    {11.9901,-0.616006}, 
 94    6.63364    6.6867        32.0194     0.061764,   0.998091      0.0604359 0.0533904   0.002743,   0.323898        0.67988    {0.656612,10.6107}, 
 95    6.62991   6.62638        31.6971      0.99826, -0.0589673      0.05263750.00373277  0.0603205,   0.322261       0.600334    {11.9667,-0.706873}, 
 96    6.57736   6.62948        31.3786    0.0700217,   0.997545      0.0604359 0.0525459 0.00310389,   0.318544       0.684201    {0.731639,10.4231}, 
 97    6.57313   6.56919        31.0614     0.997827, -0.0658891      0.05212870.00423183  0.0602876,   0.317236       0.595161    {11.9343,-0.788054}, 
 98    6.52112   6.57263        30.7481    0.0716716,   0.997428      0.0599271 0.0520154 0.00343471,   0.313298       0.684597    {0.740262,10.302}, 
 99    6.51682   6.51285        30.4369     0.997756, -0.0669491      0.05130540.00429507   0.059773,   0.311161       0.593944    {11.8272,-0.793604}, 
100    6.46563   6.51629        30.1298    0.0787015,   0.996898      0.0599271 0.0511903 0.00343485,   0.307155       0.688129    {0.79984,10.1314}, 
101    6.46092   6.45655        29.8235     0.997269, -0.0738558      0.05079660.00471635  0.0597412,    0.30624       0.588751    {11.7954,-0.873542}, 
102    6.41026    6.4603        29.5213    0.0808828,   0.996724      0.0596126 0.0506579 0.00375162,     0.3022       0.688809    {0.812164,10.0084}, 
103    6.40544   6.40088        29.2208     0.996995,  -0.077467      0.04997330.00482163  0.0594173,   0.300493       0.585786    {11.7217,-0.910779}, 
104    6.35561   6.40475        28.9241    0.0894968,   0.995987      0.0596126 0.0498231 0.00387128,   0.296744       0.693191    {0.883127,9.8281}, 
105    6.35028   6.34538        28.6279     0.996502, -0.0835714        0.049150.00533513  0.0593734,   0.296197       0.581103    {11.6801,-0.979549}, 
106     6.3013   6.34949         28.336    0.0996342,   0.995024      0.0599271 0.0489781 0.00410753,   0.291886       0.698376    {0.965033,9.63757}, 
107    6.29533   6.28986        28.0435     0.995645, -0.0932233      0.04864120.00597078  0.0596289,   0.292485       0.573948    {11.6847,-1.09405}, 
108     6.2469   6.29439        27.7555      0.10419,   0.994557      0.0599271 0.0484293 0.00453449,   0.287982       0.700338    {0.995086,9.49871}, 
109    6.24066   6.23479        27.4679     0.994975,  -0.100121      0.04781790.00624379  0.0596009,   0.287608       0.568658    {11.654,-1.17271}, 
110    6.19308   6.23958        27.1843     0.115964,   0.993253      0.0604359 0.0475776 0.00478759,    0.28361       0.706308    {1.08583,9.30033}, 
111    6.18607   6.17955        26.8996     0.993825,  -0.110963       0.0473090.00700839  0.0600282,   0.284733       0.560578    {11.6758,-1.30363}, 
112    6.13905    6.1848        26.6192     0.122405,    0.99248      0.0604359 0.0470169 0.00524954,   0.280413       0.709234    {1.12845,9.14966}, 
113    6.13166   6.12482        26.3386     0.993162,  -0.116742      0.04699460.00739763  0.0599814,   0.280597       0.556006    {11.6304,-1.3671}, 
114    6.08498   6.13031        26.0625     0.121023,    0.99265      0.0596126 0.0466732 0.00548622,    0.27609        0.70782    {1.10517,9.06479}, 
115    6.07777   6.07113        25.7881     0.993387,  -0.114817      0.04617130.00721451  0.0591744,   0.274342       0.556849    {11.4827,-1.32719}, 
