
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                grad
508     1.7188   1.72599       0.521844  8.81525e-05,          1     0.007181620.007187355.35408e-06, 0.00521837       0.502393    {0.000126717,1.43748}, 
509     1.7188   1.71881       0.516678            1,0.000893423     0.007118026.33078e-07 0.00718162, 0.00516678       0.501445    {1.43632,0.00128324}, 
510    1.71168    1.7188       0.511562 -0.000171484,          1     0.007112280.00711801 6.3594e-06, 0.00511554       0.501648    {-0.000244126,1.42361}, 
511    1.71169   1.71169       0.506497            1,0.000642484     0.007045131.21964e-06 0.00711228, 0.00506495       0.500713    {1.42246,0.000913907}, 
512    1.70464   1.71169       0.501482  0.000175326,          1     0.007045130.007045134.52638e-06, 0.00501476       0.501209    {0.000247041,1.40903}, 
513    1.70464   1.70464       0.496517            1, 0.00018126     0.006975791.2352e-06 0.00704513, 0.00496519       0.499879    {1.40902,0.0002554}, 
514    1.69766   1.70464       0.491601  0.000119318,          1     0.006970060.006975791.26443e-06, 0.00491599       0.500571    {0.000166468,1.39516}, 
515    1.69766   1.69767       0.486734            1, 0.00094393     0.006912198.31654e-07 0.00697006, 0.00486734       0.499657    {1.39401,0.00131585}, 
516    1.69075   1.69766       0.481915  -0.00068485,          1     0.006897180.006912196.52462e-06, 0.00481907       0.499563    {-0.00094677,1.38245}, 
517    1.69076   1.69077       0.477143     0.999999, 0.00149978     0.006842854.72353e-06 0.00689717, 0.00477137       0.499334    {1.37944,0.00206886}, 
518    1.68391   1.69076       0.472419 -0.000555198,          1     0.006827840.006842851.02627e-05, 0.00472409       0.499023    {-0.000759837,1.36859}, 
519    1.68392   1.68393       0.467742     0.999999,  0.0016548     0.006779253.79081e-06 0.00682784, 0.00467737       0.498814    {1.36557,0.00225975}, 
520    1.67714   1.68392       0.463111  -0.00117238,   0.999999     0.006760690.006779241.12183e-05, 0.00463101       0.498115    {-0.00158959,1.35586}, 
521    1.67715   1.67716       0.458526     0.999999, 0.00158398      0.00671217.92608e-06 0.00676069, 0.00458517       0.498184    {1.35215,0.00214178}, 
522    1.67043   1.67715       0.453986  -0.00116795,   0.999999     0.006691350.006712091.06318e-05, 0.00453976       0.497518    {-0.0015679,1.34243}, 
523    1.67044   1.67045       0.449491     0.999998, 0.00194395      0.00664857.81516e-06 0.00669135, 0.00449483        0.49777    {1.33828,0.00260156}, 
524    1.66379   1.67044       0.445041  -0.00160114,   0.999999     0.006622010.006648491.29244e-05,  0.0044503       0.496707    {-0.00212906,1.32971}, 
525     1.6638   1.66382       0.440635     0.999997, 0.00241033      0.00658491.06028e-05 0.00662201, 0.00440625        0.49741    {1.32441,0.00319228}, 
526    1.65722    1.6638       0.436272  -0.00194148,   0.999998     0.006554870.006584881.58717e-05, 0.00436261       0.495945    {-0.00255692,1.31699}, 
527    1.65723   1.65725       0.431953     0.999996, 0.00265235      0.00651911.27262e-05 0.00655485, 0.00431942       0.496942    {1.31098,0.0034772}, 
528    1.65071   1.65723       0.427676  -0.00184932,   0.999998     0.006491260.006519081.72909e-05, 0.00427665         0.4954    {-0.00241121,1.30383}, 
529    1.65072   1.65074       0.423442     0.999997, 0.00245211      0.00645551.20044e-05 0.00649125, 0.00423432       0.496258    {1.29826,0.0031835}, 
530    1.64427   1.65072       0.419249   -0.0019958,   0.999998     0.006427660.006455481.58296e-05, 0.00419239       0.494739    {-0.00257681,1.29111}, 
531    1.64428    1.6443       0.415098     0.999997, 0.00234789     0.006388351.28283e-05 0.00642765, 0.00415088       0.495624    {1.28554,0.00301833}, 
532    1.63789   1.64428       0.410989  -0.00148674,   0.999999     0.006364060.006388331.49992e-05, 0.00410978       0.494405    {-0.00189959,1.27769}, 
533     1.6379   1.63792       0.406919     0.999997, 0.00234351     0.006324759.4617e-06 0.00636405, 0.00406911       0.495043    {1.27282,0.00298288}, 
534    1.63158    1.6379       0.402891  -0.00143049,   0.999999     0.006300450.006324731.48221e-05,  0.0040288       0.493849    {-0.00180952,1.26496}, 
535    1.63159    1.6316       0.398902     0.999997, 0.00243835     0.006264699.01272e-06 0.00630045, 0.00398893       0.494512    {1.2601,0.00307257}, 
536    1.62532   1.63159       0.394952  -0.00184195,   0.999998     0.006236850.006264671.52755e-05, 0.00394942       0.493066    {-0.00230788,1.25295}, 
537    1.62533   1.62535       0.391042     0.999997, 0.00263432     0.006201091.1488e-05 0.00623684, 0.00391033       0.494034    {1.24738,0.00328601}, 
538    1.61913   1.62533        0.38717  -0.00158619,   0.999999     0.006176790.006201071.63357e-05,  0.0038716       0.492614    {-0.00196724,1.24023}, 
539    1.61914   1.61916       0.383337     0.999997, 0.00235999     0.006137489.79755e-06 0.00617678, 0.00383329       0.493327    {1.23537,0.00291547}, 
540      1.613   1.61914       0.379542  -0.00122406,   0.999999     0.006118920.006137471.44844e-05, 0.00379532       0.492217    {-0.00150255,1.22751}, 
541    1.61301   1.61302       0.375784     0.999998, 0.00182214     0.006073887.48993e-06 0.00611892, 0.00375777       0.492494    {1.22379,0.00222992}, 
542    1.60694   1.61301       0.372063 -0.000752346,          1     0.006058870.006073871.10674e-05, 0.00372054       0.491875    {-0.000913944,1.21479}, 
543    1.60694   1.60695        0.36838     0.999998, 0.00173795     0.006016014.55837e-06 0.00605886, 0.00368375       0.491887    {1.21178,0.00210602}, 
544    1.60093   1.60694       0.364732  -0.00113189,   0.999999     0.00599526  0.0060161.04556e-05, 0.00364724       0.491119    {-0.00136191,1.20322}, 
545    1.60093   1.60095       0.361121     0.999997, 0.00234067     0.005961696.78596e-06 0.00599526, 0.00361114       0.491618    {1.19906,0.00280662}, 
546    1.59497   1.60093       0.357546  -0.00201816,   0.999998     0.005931660.005961671.39544e-05, 0.00357537       0.490118    {-0.00240636,1.19235}, 
547    1.59498     1.595       0.354006     0.999995,  0.0030569     0.005903821.1971e-05 0.00593165, 0.00353997       0.491406    {1.18634,0.00362655}, 
548    1.58908   1.59498       0.350501  -0.00221504,   0.999998     0.005873790.005903791.80474e-05, 0.00350492       0.489458    {-0.00261547,1.18078}, 
549    1.58909   1.58911       0.347031     0.999996, 0.00290963     0.005843761.30107e-05 0.00587378, 0.00347022       0.490776    {1.17477,0.00341816}, 
550    1.58325   1.58909       0.343595  -0.00193899,   0.999998     0.005819470.005843741.70032e-05, 0.00343586       0.489031    {-0.00226622,1.16877}, 
551    1.58326   1.58327       0.340193     0.999997, 0.00224831     0.005785891.12839e-05 0.00581946, 0.00340185       0.489898    {1.1639,0.00261683}, 
552    1.57747   1.58326       0.336825  -0.00193697,   0.999998      0.00576160.005785881.30085e-05, 0.00336817       0.488473    {-0.00224145,1.15719}, 
553    1.57749    1.5775        0.33349     0.999997, 0.00229204     0.00572584 1.116e-05 0.00576159, 0.00333482       0.489366    {1.15233,0.0026412}, 
554    1.57176   1.57749       0.330188  -0.00144978,   0.999999     0.005707280.005725821.31239e-05,  0.0033018       0.488155    {-0.00166026,1.14518}, 
555    1.57177   1.57178       0.326919     0.999998, 0.00181485     0.005667978.27429e-06 0.00570727, 0.00326912       0.488583    {1.14147,0.00207159}, 
556     1.5661   1.57177       0.323682  -0.00123943,   0.999999     0.005647220.005667961.02865e-05, 0.00323675       0.487704    {-0.00140503,1.13361}, 
557    1.56611   1.56612       0.320478     0.999997, 0.00244664     0.005613646.99936e-06 0.00564721, 0.00320471       0.488343    {1.12945,0.00276337}, 
558    1.56049   1.56611       0.317305  -0.00156247,   0.999999     0.005589350.005613631.37346e-05, 0.00317297       0.486996    {-0.00175426,1.12274}, 
559     1.5605   1.56052       0.314163     0.999996, 0.00279695     0.005559328.73321e-06 0.00558934, 0.00314156       0.487968    {1.11788,0.00312666}, 
560    1.55494    1.5605       0.311053  -0.00178983,   0.999998     0.00553503 0.00555931.55491e-05, 0.00311045       0.486337    {-0.00199007,1.11188}, 
561    1.55495   1.55497       0.307973     0.999997,  0.0026122     0.005501459.90674e-06 0.00553502, 0.00307966       0.487336    {1.10701,0.00289175}, 
562    1.54945   1.55495       0.304924  -0.00127315,   0.999999      0.00548070.005501431.43709e-05, 0.00304916       0.486043    {-0.00140086,1.1003}, 
563    1.54946   1.54947       0.301905     0.999997,  0.0025262     0.005447136.97778e-06  0.0054807, 0.00301899       0.486755    {1.09615,0.0027691}, 
564    1.54401   1.54946       0.298916  -0.00129986,   0.999999     0.005428570.005447111.37605e-05, 0.00298908       0.485487    {-0.00141612,1.08944}, 
565    1.54402   1.54403       0.295956     0.999998,  0.0021322     0.005392817.05636e-06 0.00542857,  0.0029595       0.486027    {1.08572,0.00231499}, 
566    1.53863   1.54402       0.293026  -0.00122587,   0.999999     0.005374250.005392791.14986e-05, 0.00293019       0.484983    {-0.00132219,1.07857}, 
567    1.53863   1.53864       0.290125     0.999997, 0.00224014     0.005340676.58812e-06 0.00537424, 0.00290119       0.485546    {1.07486,0.00240783}, 
568    1.53329   1.53863       0.287253  -0.00146357,   0.999999     0.005319920.005340661.19638e-05, 0.00287245       0.484331    {-0.00156331,1.06815}, 
569     1.5333   1.53331       0.284408     0.999997,  0.0024495     0.005289897.78609e-06 0.00531992, 0.00284402       0.485116    {1.06399,0.00260625}, 
570    1.52801    1.5333       0.281593  -0.00186284,   0.999998      0.00526560.005289881.29576e-05, 0.00281586       0.483604    {-0.00197087,1.05799}, 
571    1.52802   1.52803       0.278805     0.999996, 0.00276361     0.005237769.80895e-06 0.00526559, 0.00278798       0.484738    {1.05313,0.00291045}, 
572    1.52278   1.52802       0.276044  -0.00190919,   0.999998     0.005211280.005237741.44751e-05, 0.00276037       0.483051    {-0.002,1.04756}, 
573    1.52279   1.52281       0.273311     0.999995, 0.00318577     0.005186989.94932e-06 0.00521127, 0.00273304       0.484415    {1.04226,0.00332042}, 
574     1.5176   1.52279       0.270605  -0.00211781,   0.999998     0.005159140.005186961.65245e-05, 0.00270599       0.482422    {-0.00219704,1.03741}, 
575    1.51762   1.51763       0.267926     0.999995, 0.00329032     0.005138391.09261e-05 0.00515913, 0.00267919       0.483942    {1.03184,0.00339509}, 
576    1.51248   1.51762       0.265273  -0.00265849,   0.999996     0.005106590.00513837 1.6907e-05, 0.00265267       0.481636    {-0.00273211,1.02769}, 
577    1.51249   1.51251       0.262647     0.999994, 0.00358051     0.005089811.35758e-05 0.00510657,  0.0026264       0.483561    {1.02132,0.00365689}, 
578     1.5074   1.51249       0.260047  -0.00310836,   0.999995     0.005055140.005089771.82241e-05, 0.00260041       0.480897    {-0.00316422,1.01797}, 
579    1.50742   1.50744       0.257472     0.999993,  0.0037601     0.005038351.57132e-05 0.00505511, 0.00257466       0.483129    {1.01103,0.00380161}, 
580    1.50238   1.50742       0.254923  -0.00289599,   0.999996     0.005006550.005038311.89447e-05, 0.00254918       0.480479    {-0.00291823,1.00768}, 
581    1.50239   1.50241       0.252399     0.999994,  0.0034657     0.004986891.44989e-05 0.00500653, 0.00252393       0.482473    {1.00132,0.00347028}, 
582    1.49741   1.50239         0.2499  -0.00258062,   0.999997     0.004959730.004986861.72831e-05, 0.00249894       0.480114    {-0.00257389,0.997386}, 
583    1.49742   1.49743       0.247426     0.999996, 0.00290687     0.004935441.27992e-05 0.00495971, 0.00247419       0.481693    {0.991955,0.00288349}, 
584    1.49248   1.49742       0.244976  -0.00215808,   0.999998     0.004908280.004935421.43467e-05,  0.0024497       0.479803    {-0.00213024,0.987097}, 
585    1.49249   1.49251       0.242551     0.999994, 0.00338826     0.004888621.05924e-05 0.00490826, 0.00242544       0.481414    {0.981662,0.00332614}, 
586    1.48761   1.49249       0.240149  -0.00257816,   0.999997     0.004861460.004888591.65639e-05, 0.00240144        0.47909    {-0.00252076,0.977732}, 
587    1.48762   1.48763       0.237771     0.999995, 0.00302026     0.004837161.25336e-05 0.00486144, 0.00237765       0.480732    {0.9723,0.00293661}, 
588    1.48278   1.48762       0.235417  -0.00194463,   0.999998     0.004812870.004837141.46095e-05, 0.00235411       0.478885    {-0.00188133,0.967443}, 
589    1.48279   1.48281       0.233087     0.999995, 0.00311568     0.004793229.35928e-06 0.00481286, 0.00233081       0.480273    {0.962582,0.00299911}, 
590      1.478   1.48279       0.230779  -0.00277117,   0.999996     0.004761410.004793191.49341e-05, 0.00230773       0.477984    {-0.0026566,0.958651}, 
591    1.47801   1.47803       0.228494     0.999992, 0.00391965      0.00474641.31947e-05  0.0047614, 0.00228488       0.480155    {0.952288,0.00373266}, 
592    1.47326   1.47801       0.226232  -0.00290385,   0.999996      0.00471460.004746361.86042e-05, 0.00226228       0.477418    {-0.00275659,0.949285}, 
593    1.47328    1.4733       0.223992     0.999993, 0.00385046     0.004697811.36905e-05 0.00471458, 0.00223986       0.479624    {0.942925,0.00363072}, 
594    1.46858   1.47328       0.221774  -0.00256346,   0.999997     0.004670650.004697781.80887e-05,  0.0022177       0.477081    {-0.00240855,0.939568}, 
595    1.46859   1.46861       0.219578     0.999995, 0.00326163       0.0046511.1973e-05 0.00467063, 0.00219573       0.478848    {0.934137,0.00304683}, 
596    1.46394   1.46859       0.217404  -0.00249966,   0.999997     0.004623830.004650971.51698e-05, 0.00217399       0.476614    {-0.00232521,0.930207}, 
597    1.46395   1.46397       0.215252     0.999994, 0.00338627     0.004607051.1558e-05 0.00462382, 0.00215246       0.478415    {0.924773,0.00313155}, 
598    1.45935   1.46395       0.213121  -0.00295698,   0.999996     0.004575250.004607021.56007e-05, 0.00213116       0.475901    {-0.00272462,0.921415}, 
599    1.45936   1.45938       0.211011     0.999992, 0.00400482      0.00456311.35289e-05 0.00457523, 0.00211005       0.478218    {0.915053,0.00366466}, 
600     1.4548   1.45936       0.208921  -0.00332039,   0.999994     0.004528430.004563061.82744e-05, 0.00208918       0.475237    {-0.00303028,0.912622}, 
601    1.45481   1.45483       0.206853     0.999991, 0.00434366     0.004519151.50362e-05  0.0045284, 0.00206848       0.477891    {0.905688,0.00393403}, 
602    1.45029   1.45481       0.204805  -0.00359116,   0.999994     0.004484480.004519111.96296e-05, 0.00204803        0.47462    {-0.00324581,0.903829}, 
603    1.45031   1.45033       0.202777     0.999991, 0.00414569     0.004472331.61045e-05 0.00448445, 0.00202773       0.477312    {0.896898,0.00371829}, 
604    1.44584   1.45031        0.20077  -0.00312787,   0.999995     0.004440530.004472291.85409e-05, 0.00200767       0.474355    {-0.0027978,0.894469}, 
605    1.44585   1.44587       0.198782     0.999992, 0.00404136     0.004428381.38894e-05 0.00444051, 0.00198777       0.476781    {0.88811,0.0035892}, 
606    1.44142   1.44585       0.196814  -0.00320339,   0.999995     0.004396580.004428351.78967e-05, 0.00196811       0.473836    {-0.00283719,0.88568}, 
607    1.44144   1.44145       0.194865     0.999992, 0.00403793     0.004384441.4084e-05 0.00439656,  0.0019486       0.476301    {0.87932,0.00355066}, 
608    1.43705   1.44144       0.192936  -0.00317959,   0.999995     0.00435263 0.0043844 1.7704e-05, 0.00192933       0.473367    {-0.00278816,0.87689}, 
609    1.43706   1.43708       0.191026     0.999991,  0.0041348     0.004342261.38396e-05 0.00435261, 0.00191021        0.47587    {0.87053,0.0035995}, 
610    1.43272   1.43706       0.189134  -0.00346377,   0.999994     0.004310460.004342221.79544e-05, 0.00189131       0.472755    {-0.00300814,0.868453}, 
611    1.43274   1.43275       0.187262     0.999992, 0.00392134     0.004298311.49304e-05 0.00431043, 0.00187258       0.475296    {0.862094,0.00338059}, 
612    1.42844   1.43274       0.185408  -0.00324178,   0.999995     0.004266510.004298281.68552e-05, 0.00185404       0.472386    {-0.00278686,0.859665}, 
613    1.42845   1.42847       0.183572     0.999991, 0.00422065     0.004254361.38311e-05 0.00426649, 0.00183568       0.474966    {0.853304,0.00360153}, 
614     1.4242   1.42845       0.181754  -0.00291214,   0.999996      0.00422720.004254321.79562e-05, 0.00181752       0.472071    {-0.00247788,0.850875}, 
615    1.42421   1.42423       0.179955     0.999994, 0.00352075     0.004210411.23102e-05 0.00422718, 0.00179951       0.474169    {0.845445,0.00297662}, 
616       1.42   1.42421       0.178173   -0.0024798,   0.999997     0.004187890.004210391.48238e-05, 0.00178169       0.471806    {-0.00208822,0.842089}, 
617    1.42001   1.42002       0.176409     0.999996, 0.00290905     0.004166461.03851e-05 0.00418788, 0.00176405       0.473417    {0.837585,0.00243658}, 
618    1.41584   1.42001       0.174663   -0.0019356,   0.999998     0.004146810.004166451.21204e-05, 0.00174658       0.471597    {-0.00161294,0.833302}, 
619    1.41585   1.41586       0.172933     0.999996, 0.00281671     0.004124298.02657e-06  0.0041468, 0.00172929       0.472912    {0.829369,0.0023361}, 
620    1.41173   1.41585       0.171221  -0.00171012,   0.999999      0.00410750.004124271.16169e-05, 0.00171217       0.471239    {-0.00141062,0.824867}, 
621    1.41174   1.41175       0.169526     0.999997,  0.0023897     0.004083217.02432e-06  0.0041075, 0.00169522       0.472252    {0.821507,0.00196316}, 
622    1.40765   1.41174       0.167848  -0.00164893,   0.999999     0.00406819 0.00408329.75764e-06, 0.00167843       0.470807    {-0.0013466,0.816651}, 
623    1.40766   1.40767       0.166186     0.999998, 0.00205458     0.004041036.70816e-06 0.00406819, 0.00166182       0.471639    {0.813646,0.00167171}, 
624    1.40362   1.40766        0.16454  -0.00121269,   0.999999     0.004028880.004041028.30264e-06, 0.00164536       0.470554    {-0.000980117,0.808216}, 
625    1.40362   1.40363       0.162911     0.999998, 0.00181479     0.003999954.88579e-06 0.00402888, 0.00162908       0.471074    {0.805783,0.00146233}, 
626    1.39962   1.40362       0.161298 -0.000942166,          1     0.003989570.003999947.25907e-06, 0.00161294       0.470225    {-0.000753732,0.799999}, 
627    1.39963   1.39963       0.159701     0.999999, 0.00167029     0.003960643.75884e-06 0.00398957, 0.00159699       0.470556    {0.79792,0.00133276}, 
628    1.39567   1.39963        0.15812  -0.00101634,   0.999999     0.003948490.003960646.61541e-06, 0.00158117       0.469737    {-0.000805083,0.792137}, 
629    1.39567   1.39568       0.156555     0.999998,  0.0020714     0.003921334.01302e-06 0.00394849, 0.00156552       0.470296    {0.789704,0.0016358}, 
630    1.39175   1.39567       0.155005 -0.000993198,          1     0.003909180.003921328.12265e-06, 0.00155001       0.469298    {-0.000778942,0.784276}, 
631    1.39175   1.39176        0.15347     0.999998, 0.00212686     0.003882023.8826e-06 0.00390918, 0.00153467       0.469877    {0.781842,0.00166287}, 
632    1.38787   1.39175        0.15195 -0.000867652,          1     0.003869880.003882018.25652e-06, 0.00151947        0.46891    {-0.000673658,0.776414}, 
633    1.38787   1.38788       0.150446     0.999997, 0.00228427     0.003845583.35771e-06 0.00386987, 0.00150444       0.469509    {0.77398,0.00176798}, 
634    1.38403   1.38787       0.148957  -0.00139004,   0.999999     0.003830570.003845578.78436e-06, 0.00148953       0.468221    {-0.00106911,0.769125}, 
635    1.38403   1.38404       0.147482     0.999997, 0.00254248     0.003806275.32463e-06 0.00383056, 0.00147479        0.46919    {0.766119,0.00194785}, 
636    1.38023   1.38403       0.146022  -0.00106404,   0.999999     0.003794130.003806269.67739e-06, 0.00146018       0.467931    {-0.000810018,0.761264}, 
637    1.38023   1.38024       0.144576     0.999998, 0.00215113     0.003766964.03711e-06 0.00379412, 0.00144573       0.468571    {0.75883,0.00163234}, 
638    1.37646   1.38023       0.143144 -0.000629308,          1     0.003759460.003766968.10322e-06, 0.00143141       0.467695    {-0.000474122,0.753403}, 
639    1.37647   1.37647       0.141727     0.999999, 0.00138104     0.003727662.36585e-06 0.00375946, 0.00141726       0.467779    {0.751895,0.0010384}, 
640    1.37274   1.37647       0.140324 -8.18737e-05,          1     0.003723020.003727655.14805e-06, 0.00140321       0.467514    {-6.104e-05,0.745539}, 
641    1.37274   1.37274       0.138935     0.999999, 0.00117522     0.003691213.04817e-07 0.00372302, 0.00138934       0.467252    {0.744604,0.000875075}, 
642    1.36905   1.37274       0.137559 -0.000207889,          1     0.003683710.003691214.33799e-06, 0.00137556       0.467022    {-0.000153474,0.73825}, 
643    1.36905   1.36906       0.136197     0.999998, 0.00183956     0.00365654 7.658e-07 0.00368371, 0.00136196       0.467133    {0.736742,0.00135529}, 
644    1.36539   1.36905       0.134849 -0.000728814,          1     0.003647270.003656546.72645e-06, 0.00134845       0.466348    {-0.000532995,0.731318}, 
645     1.3654    1.3654       0.133514     0.999998,  0.0018277      0.00362012.65818e-06 0.00364726, 0.00133512       0.466702    {0.729457,0.00133323}, 
646    1.36177    1.3654       0.132192 -0.000662369,          1      0.0036126 0.00362016.61647e-06, 0.00132188       0.465951    {-0.000479575,0.724029}, 
647    1.36178   1.36178       0.130883     0.999999, 0.00142802     0.003585432.39287e-06  0.0036126, 0.00130881       0.466094    {0.722523,0.00103178}, 
648    1.35819   1.36178       0.129587 -0.000990296,          1     0.003573290.003585435.12007e-06, 0.00129584       0.465374    {-0.000710136,0.717094}, 
649     1.3582    1.3582       0.128304     0.999997, 0.00241944     0.003548993.53861e-06 0.00357329, 0.00128302       0.466134    {0.714662,0.00172908}, 
650    1.35465    1.3582       0.127034 -0.000726137,          1     0.003541490.003548988.58656e-06,  0.0012703       0.465074    {-0.000515418,0.709808}, 
651    1.35465   1.35465       0.125776     0.999999, 0.00140763     0.003512552.5716e-06 0.00354148, 0.00125774       0.465248    {0.708301,0.000997025}, 
652    1.35114   1.35465       0.124531 -0.000348556,          1     0.003505040.003512554.94437e-06, 0.00124528       0.464829    {-0.000244867,0.702518}, 
653    1.35114   1.35114       0.123298     0.999998,   0.001804     0.003477881.22171e-06 0.00350504, 0.00123297       0.465017    {0.701011,0.00126462}, 
654    1.34766   1.35114       0.122077 -0.000381803,          1     0.003470380.003477886.27409e-06, 0.00122074       0.464397    {-0.000265576,0.695585}, 
655    1.34766   1.34767       0.120868     0.999998, 0.00179402     0.00344608 1.325e-06 0.00347037, 0.00120867       0.464601    {0.694077,0.00124519}, 
656    1.34422   1.34766       0.119672  -0.00115159,   0.999999     0.003433930.003446086.18234e-06, 0.00119669       0.463626    {-0.000793707,0.689224}, 
657    1.34422   1.34423       0.118487     0.999997, 0.00239751     0.003414283.9545e-06 0.00343393, 0.00118484       0.464471    {0.686791,0.00164659}, 
658     1.3408   1.34422       0.117314  -0.00183622,   0.999998     0.003399260.003414278.18575e-06, 0.00117311       0.462898    {-0.00125389,0.682863}, 
659    1.34081   1.34082       0.116152     0.999997, 0.00259346     0.003377846.24181e-06 0.00339926, 0.00116149       0.464154    {0.679859,0.00176319}, 
660    1.33743   1.34081       0.115002  -0.00105122,   0.999999     0.003367460.003377838.76029e-06, 0.00114999       0.462852    {-0.00071018,0.675576}, 
661    1.33744   1.33744       0.113864     0.999998, 0.00204339     0.003343173.53995e-06 0.00336746, 0.00113862       0.463497    {0.673497,0.00137622}, 
662    1.33409   1.33744       0.112736 -0.000680914,          1     0.003335660.00334316 6.8314e-06, 0.00112733       0.462617    {-0.000455288,0.668642}, 
663     1.3341    1.3341        0.11162     0.999999, 0.00158274     0.003311372.2713e-06 0.00333566, 0.00111619       0.462883    {0.667136,0.00105591}, 
664    1.33078    1.3341       0.110515  -0.00107429,   0.999999     0.003299220.003311365.24104e-06, 0.00110512       0.462032    {-0.000711485,0.66228}, 
665    1.33079    1.3308       0.109421     0.999997, 0.00261848     0.003279573.54433e-06 0.00329922, 0.00109419       0.462962    {0.659848,0.0017278}, 
666    1.32751   1.33079       0.108337  -0.00137881,   0.999999     0.003267420.003279558.58747e-06, 0.00108334       0.461491    {-0.000904389,0.655921}, 
667    1.32751   1.32752       0.107265     0.999997,  0.0023521     0.003247764.50514e-06 0.00326742, 0.00107262       0.462444    {0.653489,0.00153708}, 
668    1.32427   1.32751       0.106203  -0.00158566,   0.999999     0.003232750.003247767.63908e-06,   0.001062       0.460998    {-0.00102998,0.64956}, 
669    1.32427   1.32428       0.105151     0.999995, 0.00307165     0.003215965.12605e-06 0.00323275, 0.00105149       0.462381    {0.646555,0.001986}, 
670    1.32105   1.32427        0.10411  -0.00169644,   0.999999     0.003200950.003215959.87832e-06, 0.00104107       0.460552    {-0.00109115,0.6432}, 
671    1.32106   1.32107       0.103079     0.999995, 0.00300705     0.003184165.43023e-06 0.00320094, 0.00103077       0.461961    {0.640194,0.00192511}, 
672    1.31788   1.32106       0.102059  -0.00170877,   0.999999     0.003169150.003184159.57495e-06, 0.00102056       0.460154    {-0.00108822,0.636839}, 
673    1.31788   1.31789       0.101048     0.999995, 0.00304183     0.003152365.41535e-06 0.00316914, 0.00101046       0.461588    {0.633834,0.00192803}, 
674    1.31473   1.31788       0.100048  -0.00162074,   0.999999     0.003137350.003152359.58895e-06, 0.00100045       0.459805    {-0.00102184,0.630479}, 
675    1.31473   1.31474      0.0990574     0.999995, 0.00317798     0.003120565.08482e-06 0.00313734, 0.00099055       0.461265    {0.627473,0.00199411}, 
676    1.31161   1.31473      0.0980766  -0.00143029,   0.999999     0.003108410.003120549.91708e-06,0.000980741       0.459505    {-0.000892673,0.624119}, 
677    1.31162   1.31163      0.0971056     0.999997, 0.00249066     0.003088764.44593e-06 0.00310841,0.000971035       0.460568    {0.621687,0.00154841}, 
678    1.30853   1.31162      0.0961442  -0.00113525,   0.999999     0.003076610.003088757.69303e-06,0.000961416       0.459256    {-0.000701314,0.617759}, 
679    1.30853   1.30854      0.0951923     0.999996,  0.0028264     0.003061593.49273e-06 0.00307661,0.000951903       0.460341    {0.615326,0.00173916}, 
680    1.30547   1.30853      0.0942498   -0.0022591,   0.999997     0.003041940.003061588.65329e-06,0.000942475       0.458359    {-0.00138331,0.612325}, 
681    1.30548   1.30549      0.0933167     0.999991,  0.0042145     0.003034436.87206e-06 0.00304193, 0.00093314       0.460598    {0.608391,0.00256409}, 
682    1.30244   1.30548      0.0923927  -0.00329703,   0.999995     0.003010140.003034411.27886e-05,0.000923914       0.457503    {-0.00200094,0.606888}, 
683    1.30245   1.30247       0.091478     0.999989, 0.00478076      0.00300559.92453e-06 0.00301012,0.000914757        0.46048    {0.602028,0.00287819}, 
684    1.29945   1.30245      0.0905723  -0.00366302,   0.999993     0.002978340.003005461.43686e-05,0.000905718        0.45696    {-0.00220185,0.601097}, 
685    1.29946   1.29947      0.0896755     0.999985, 0.00545938     0.002978341.09097e-05 0.00297832,0.000896735       0.460416    {0.595665,0.00325201}, 
686    1.29648   1.29946      0.0887877  -0.00452909,    0.99999     0.002946540.002978291.62599e-05,0.000887885       0.456189    {-0.00269782,0.595659}, 
687    1.29649   1.29651      0.0879086      0.99998, 0.00625899     0.002951181.33451e-05 0.00294651,0.000879076       0.460409    {0.589299,0.00368849}, 
688    1.29354   1.29649      0.0870382  -0.00530729,   0.999986     0.002914730.002951121.84714e-05,0.000870408       0.455462    {-0.0031325,0.590218}, 
689    1.29356   1.29358      0.0861764     0.999974,  0.0071795     0.002922241.54693e-05 0.00291469,0.000861767       0.460458    {0.582931,0.00418526}, 
690    1.29064   1.29356      0.0853231  -0.00539087,   0.999985     0.002887570.002922172.09802e-05,0.000853282       0.455056    {-0.00315059,0.584422}, 
691    1.29065   1.29067      0.0844783     0.999978, 0.00658523     0.002895081.55665e-05 0.00288753,0.000844789       0.459823    {0.5775,0.00380305}, 
692    1.28776   1.29065      0.0836419  -0.00601124,   0.999982     0.002855770.002895021.90648e-05,0.000836453       0.454407    {-0.00348053,0.578993}, 
693    1.28777    1.2878      0.0828137      0.99997, 0.00773231     0.002867921.71667e-05 0.00285572,0.000828155       0.459979    {0.571131,0.00441629}, 
694    1.28491   1.28777      0.0819937  -0.00651369,   0.999979     0.002828610.002867832.21756e-05,0.000820005       0.453815    {-0.00373599,0.573548}, 
695    1.28492   1.28495      0.0811819     0.999973, 0.00734096     0.002838981.84247e-05 0.00282855, 0.00081185        0.45944    {0.565696,0.00415286}, 
696    1.28209   1.28492       0.080378  -0.00633262,    0.99998     0.002799680.002838912.08409e-05,0.000803835       0.453539    {-0.00359552,0.567766}, 
