eps = 0.1
 i          x1          x2          f1          f2           a           b         b-a        отн.
21     5.99982     6.00003 3.33057e-08 6.33639e-10     5.99947     6.00037 0.000899906     1.61538
22     6.00003     6.00016 6.33639e-10 2.67713e-08     5.99982     6.00037 0.000553788       1.625
23     5.99996     6.00003 1.94052e-09 6.33639e-10     5.99982     6.00016 0.000346118         1.6
24     6.00003     6.00009 6.33639e-10 8.91055e-09     5.99996     6.00016 0.000207671     1.66667
25     6.00003     6.00003 6.33639e-10 6.33639e-10     5.99996     6.00009 0.000138447         1.5
Result: 5.99999056043	Iter: 25	Error: 9.43957257782e-06
eps = 1e-05
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1      3.1935     6.40325     7.87647    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     8.38699    0.162612     5.69773      3.1935     11.5967     8.40325     1.61803
 3     5.17723     6.40325    0.676943    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     7.16097    0.162612     1.34786     5.17723     8.38699     3.20976     1.61803
 5     5.93496     6.40325  0.00423085    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.64553     5.93496    0.125648  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     6.11383  0.00423085    0.012957     5.64553     6.40325    0.757721     1.61803
 8     5.82441     5.93496   0.0308336  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     6.00328  0.00423085 1.07498e-05     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.04551 1.07498e-05  0.00207071     5.93496     6.11383    0.178874     1.61803
11     5.97718     6.00328 0.000520689 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.01941 1.07498e-05 0.000376659     5.97718     6.04551   0.0683236     1.61803
13     5.99331     6.00328 4.47507e-05 1.07498e-05     5.97718     6.01941   0.0422263     1.61803
14     6.00328     6.00944 1.07498e-05 8.91028e-05     5.99331     6.01941   0.0260973     1.61803
15     5.99947     6.00328  2.7969e-07 1.07498e-05     5.99331     6.00944    0.016129     1.61803
16     5.99712     5.99947  8.3062e-06  2.7969e-07     5.99331     6.00328  0.00996829     1.61803
17     5.99947     6.00093  2.7969e-07 8.56552e-07     5.99712     6.00328  0.00616074     1.61803
18     5.99857     5.99947 2.03829e-06  2.7969e-07     5.99712     6.00093  0.00380755     1.61803
19     5.99947     6.00003  2.7969e-07 7.11281e-10     5.99857     6.00093  0.00235319     1.61804
20     6.00003     6.00037 7.11281e-10  1.3688e-07     5.99947     6.00093  0.00145436     1.61803
21     5.99981     6.00003 3.44303e-08 7.11281e-10     5.99947     6.00037 0.000898831     1.61806
22     6.00003     6.00016 7.11281e-10 2.48849e-08     5.99981     6.00037 0.000555527     1.61798
23     5.99995     6.00003 2.96748e-09 7.11281e-10     5.99981     6.00016 0.000343304     1.61818
24     6.00003     6.00008 7.11281e-10 5.86831e-09     5.99995     6.00016 0.000212224     1.61765
25           6     6.00003 2.06075e-11 7.11281e-10     5.99995     6.00008  0.00013108     1.61905
26     5.99998           6 5.41269e-10 2.06075e-11     5.99995     6.00003 8.11445e-05     1.61538
27           6     6.00001 2.06075e-11 6.31105e-11     5.99998     6.00003 4.99351e-05       1.625
28     5.99999           6 1.16239e-10 2.06075e-11     5.99998     6.00001 3.12094e-05         1.6
29           6           6 2.06075e-11 2.89793e-12     5.99999     6.00001 1.87256e-05     1.66667
30           6           6 2.89793e-12 2.89793e-12           6     6.00001 1.24838e-05         1.5
Result: 5.99999858139	Iter: 30	Error: 1.41860954805e-06
eps = 1e-06
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1      3.1935     6.40325     7.87647    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     8.38699    0.162612     5.69773      3.1935     11.5967     8.40325     1.61803
 3     5.17723     6.40325    0.676943    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     7.16097    0.162612     1.34786     5.17723     8.38699     3.20976     1.61803
 5     5.93496     6.40325  0.00423085    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.64553     5.93496    0.125648  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     6.11383  0.00423085    0.012957     5.64553     6.40325    0.757721     1.61803
 8     5.82441     5.93496   0.0308336  0.00423085     5.64553     6.11383    0.468297     1.61803
 9     5.93496     6.00328  0.00423085 1.07498e-05     5.82441     6.11383    0.289424     1.61803
10     6.00328     6.04551 1.07498e-05  0.00207071     5.93496     6.11383    0.178874     1.61803
11     5.97718     6.00328 0.000520689 1.07498e-05     5.93496     6.04551     0.11055     1.61803
12     6.00328     6.01941 1.07498e-05 0.000376659     5.97718     6.04551   0.0683236     1.61803
13     5.99331     6.00328 4.47507e-05 1.07498e-05     5.97718     6.01941   0.0422263     1.61803
14     6.00328     6.00944 1.07498e-05 8.91028e-05     5.99331     6.01941   0.0260973     1.61803
15     5.99947     6.00328 2.79688e-07 1.07498e-05     5.99331     6.00944    0.016129     1.61803
16     5.99712     5.99947  8.3062e-06 2.79688e-07     5.99331     6.00328  0.00996828     1.61803
17     5.99947     6.00093 2.79688e-07 8.56546e-07     5.99712     6.00328  0.00616074     1.61803
18     5.99857     5.99947 2.03831e-06 2.79688e-07     5.99712     6.00093  0.00380755     1.61803
19     5.99947     6.00003 2.79688e-07 7.10651e-10     5.99857     6.00093  0.00235319     1.61803
20     6.00003     6.00037 7.10651e-10 1.36888e-07     5.99947     6.00093  0.00145435     1.61803
21     5.99981     6.00003 3.44214e-08 7.10651e-10     5.99947     6.00037 0.000898839     1.61803
22     6.00003     6.00016 7.10651e-10 2.48995e-08     5.99981     6.00037 0.000555514     1.61803
23     5.99995     6.00003 2.95853e-09 7.10651e-10     5.99981     6.00016 0.000343326     1.61804
24     6.00003     6.00008 7.10651e-10 5.88985e-09     5.99995     6.00016 0.000212188     1.61803
25           6     6.00003 1.85332e-11 7.10651e-10     5.99995     6.00008 0.000131138     1.61806
26     5.99998           6 5.48931e-10 1.85332e-11     5.99995     6.00003 8.10504e-05     1.61798
27           6     6.00001 1.85332e-11  5.6758e-11     5.99998     6.00003 5.00873e-05     1.61818
28     5.99999           6 1.34339e-10 1.85332e-11     5.99998     6.00001 3.09631e-05     1.61765
29           6           6 1.85332e-11 6.16861e-14     5.99999     6.00001 1.91242e-05     1.61905
30           6           6 6.16861e-14 8.88279e-12           6     6.00001 1.18388e-05     1.61538
31           6           6  2.4743e-12 6.16861e-14           6           6 7.28543e-06       1.625
32           6           6 6.16861e-14 1.34339e-12           6           6 4.55339e-06         1.6
33           6           6 4.38657e-13 6.16861e-14           6           6 2.73203e-06     1.66667
34           6           6 6.16861e-14 6.16861e-14           6           6 1.82136e-06         1.5
Result: 5.99999979303	Iter: 34	Error: 2.06972343264e-07
eps = 1e-07
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1      3.1935     6.40325     7.87647    0.162612          -2     11.5967     13.5967     1.61803
 2     6.40325     8.38699    0.162612     5.69773      3.1935     11.5967     8.40325     1.61803
 3     5.17723     6.40325    0.676943    0.162612      3.1935     8.38699      5.1935     1.61803
 4     6.40325     7.16097    0.162612     1.34786     5.17723     8.38699     3.20976     1.61803
 5     5.93496     6.40325  0.00423085    0.162612     5.17723     7.16097     1.98374     1.61803
 6     5.64553     5.93496    0.125648  0.00423085     5.17723     6.40325     1.22602     1.61803
 7     5.93496     6.11383  0.00423085    0.012957     5.64553     6.40325    0.757721     1.61803
