eps = 0.1
 i          x1          x2          f1          f2           a           b         b-a        отн.
 8     5.99219     5.99219 6.10635e-05 6.09854e-05     5.99219     6.07813   0.0859425     1.99994
 9     6.03515     6.03516  0.00123583  0.00123619     5.99219     6.03516   0.0429737     1.99988
10     6.01367     6.01368  0.00018687 0.000187007     5.99219     6.01368   0.0214894     1.99977
11     6.00293     6.00293 8.57241e-06 8.60172e-06     5.99219     6.00293   0.0107472     1.99953
12     5.99756     5.99756 5.96934e-06 5.94494e-06     5.99756     6.00293  0.00537609     1.99907
13     6.00024     6.00025 5.87201e-08 6.11684e-08     5.99756     6.00025  0.00269055     1.99814
14      5.9989      5.9989 1.21099e-06 1.20001e-06      5.9989     6.00025  0.00134777     1.99629
15     5.99957     5.99958 1.84096e-07  1.7983e-07     5.99957     6.00025 0.000676387     1.99261
16     5.99991     5.99991 8.71812e-09 7.80942e-09     5.99991     6.00025 0.000340693     1.98532
17     6.00007     6.00008 5.54664e-09 6.31639e-09     5.99991     6.00008 0.000172847     1.97107
18     5.99999           6 8.92567e-11 1.97809e-11     5.99999     6.00008 8.89233e-05     1.94377
19     6.00003     6.00004 1.05717e-09 1.40731e-09     5.99999     6.00004 4.69617e-05     1.89353
20     6.00001     6.00002 1.33016e-10 2.73349e-10     5.99999     6.00002 2.59808e-05     1.80755
21           6     6.00001 1.08752e-12 3.65159e-11     5.99999     6.00001 1.54904e-05     1.67722
22           6           6 1.76599e-11 6.36218e-13           6     6.00001 1.02452e-05     1.51197
23           6           6 2.49565e-12  1.1698e-11           6           6  7.6226e-06     1.34406
Result: 5.99999960893	Iter: 23	Error: 3.91065180239e-07
eps = 1e-06
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1           9           9           9           9          -2           9          11           2
 2         3.5         3.5        6.25        6.25         3.5           9         5.5           2
 3        6.25        6.25   0.0624999   0.0625002         3.5        6.25        2.75           2
 4       4.875       4.875     1.26563     1.26562       4.875        6.25       1.375           2
 5      5.5625      5.5625    0.191406    0.191406      5.5625        6.25      0.6875           2
 6     5.90625     5.90625   0.0087891    0.008789     5.90625        6.25     0.34375           2
 7     6.07812     6.07813  0.00610349  0.00610357     5.90625     6.07813    0.171875           2
 8     5.99219     5.99219  6.1038e-05 6.10302e-05     5.99219     6.07813    0.085938     1.99999
 9     6.03516     6.03516  0.00123595  0.00123598     5.99219     6.03516   0.0429692     1.99999
10     6.01367     6.01367 0.000186915 0.000186929     5.99219     6.01367   0.0214849     1.99998
11     6.00293     6.00293   8.582e-06 8.58493e-06     5.99219     6.00293   0.0107427     1.99995
12     5.99756     5.99756 5.96135e-06 5.95891e-06     5.99756     6.00293  0.00537159     1.99991
13     6.00024     6.00024 5.95159e-08 5.97601e-08     5.99756     6.00024  0.00268605     1.99981
14      5.9989      5.9989 1.20739e-06 1.20629e-06      5.9989     6.00024  0.00134327     1.99963
15     5.99957     5.99957 1.82695e-07 1.82267e-07     5.99957     6.00024 0.000671887     1.99926
16     5.99991     5.99991 8.41523e-09 8.32374e-09     5.99991     6.00024 0.000336193     1.99851
17     6.00008     6.00008 5.79306e-09 5.86942e-09     5.99991     6.00008 0.000168347     1.99703
18     5.99999     5.99999  6.1015e-11 5.34538e-11     5.99999     6.00008 8.44233e-05     1.99408
19     6.00003     6.00003 1.16625e-09 1.20065e-09     5.99999     6.00003 4.24617e-05     1.98822
20     6.00001     6.00001 1.73439e-10 1.86859e-10     5.99999     6.00001 2.14808e-05     1.97672
21           6           6 7.17814e-12 1.01073e-11     5.99999           6 1.09904e-05     1.95451
22           6           6 6.58438e-12 4.26837e-12           6           6 5.74521e-06     1.91297
23           6           6  3.2036e-15 3.09804e-13           6           6  3.1226e-06     1.83988
24           6           6 1.57428e-12 5.69575e-13           6           6  1.8113e-06     1.72396
25           6           6 3.58862e-13 9.81104e-15           6           6 1.15565e-06     1.56734
26           6           6 7.35631e-14 5.23379e-14           6           6 8.27826e-07     1.39601
Result: 6.00000014269	Iter: 26	Error: 1.42687623494e-07
eps = 1e-07
 i          x1          x2          f1          f2           a           b         b-a        отн.
 1           9           9           9           9          -2           9          11           2
 2         3.5         3.5        6.25        6.25         3.5           9         5.5           2
 3        6.25        6.25      0.0625      0.0625         3.5        6.25        2.75           2
 4       4.875       4.875     1.26563     1.26562       4.875        6.25       1.375           2
 5      5.5625      5.5625    0.191406    0.191406      5.5625        6.25      0.6875           2
 6     5.90625     5.90625  0.00878907  0.00878906     5.90625        6.25     0.34375           2
 7     6.07812     6.07813  0.00610351  0.00610352     5.90625     6.07813    0.171875           2
 8     5.99219     5.99219 6.10354e-05 6.10347e-05     5.99219     6.07813   0.0859375           2
 9     6.03516     6.03516  0.00123596  0.00123596     5.99219     6.03516   0.0429688           2
10     6.01367     6.01367  0.00018692 0.000186921     5.99219     6.01367   0.0214844           2
11     6.00293     6.00293 8.58296e-06 8.58326e-06     5.99219     6.00293   0.0107422           2
12     5.99756     5.99756 5.96055e-06 5.96031e-06     5.99756     6.00293  0.00537114     1.99999
13     6.00024     6.00024 5.95958e-08 5.96202e-08     5.99756     6.00024   0.0026856     1.99998
14      5.9989      5.9989 1.20703e-06 1.20692e-06      5.9989     6.00024  0.00134282     1.99996
15     5.99957     5.99957 1.82555e-07 1.82512e-07     5.99957     6.00024 0.000671437     1.99993
16     5.99991     5.99991 8.38523e-09 8.37608e-09     5.99991     6.00024 0.000335743     1.99985
17     6.00008     6.00008 5.81799e-09 5.82562e-09     5.99991     6.00008 0.000167897      1.9997
18     5.99999     5.99999 5.84854e-11 5.77232e-11     5.99999     6.00008 8.39733e-05      1.9994
19     6.00003     6.00003 1.17746e-09 1.18089e-09     5.99999     6.00003 4.20117e-05     1.99881
20     6.00001     6.00001 1.77776e-10 1.79112e-10     5.99999     6.00001 2.10308e-05     1.99762
21           6           6 8.08175e-12 8.36853e-12     5.99999           6 1.05404e-05     1.99526
22           6           6 5.77137e-12 5.53363e-12           6           6 5.29521e-06     1.99056
23           6           6 4.85042e-14 7.30279e-14           6           6  2.6726e-06     1.98129
24           6           6 1.19042e-12 1.08382e-12           6           6  1.3613e-06     1.96327
25           6           6 1.89586e-13 1.48544e-13           6           6 7.05651e-07     1.92914
26           6           6 1.15753e-14 3.31647e-15           6           6 3.77826e-07     1.86766
27           6           6 3.17239e-15 1.13048e-14           6           6 2.13913e-07     1.76626
28           6           6  6.5702e-16  5.9378e-16           6           6 1.31956e-07     1.62109
29           6           6 2.35493e-16 4.27007e-15           6           6 9.09782e-08     1.45042
Result: 6.00000001986	Iter: 29	Error: 1.98566976195e-08
