
Eps: 0.001
  i          x         y         f(x,y)                  (s1,s2)         lambda              x2-x1, y2-y1, f2-f1          angle                      grad, H1
  2     9.9995   99.9945         80.993     -22.4013,   -447.999     -0.01582560.000500011    89.9945,     810000       -81.9985    {-0.0349066,0.90174},  { { -1.24458,-24.8905 }, {-24.8905, -497.779} }
  3    9.64499   92.9047        76.2023     0.349716,    6.62492         1.2366  0.354514    7.08985,    4.79073        6.18623    {484.493,-24.22},  { { 0.0202265,0.390169 }, {0.390169, 7.53136} }
  4    9.21253   84.7123        69.9537     0.255256,    4.54474          2.296  0.432459    8.19236,    6.24864        4.31518    {600.015,-31.6737},  { { 0.0155406,0.286337 }, {0.286337, 5.28078} }
  5    8.62646   74.2776        60.0736      0.27096,    4.53663        1.88713  0.586068    10.4347,    9.88003        4.27762    {492.228,-27.646},  { { 0.0177645,0.306489 }, {0.306489, 5.29284} }
  6    8.11512   65.7164        52.5526     0.251706,    3.94641        2.11374  0.511338    8.56121,    7.52109        3.72505    {464.905,-27.7676},  { { 0.0176881,0.287082 }, {0.287082, 4.66442} }
  7    7.58308   57.3747        44.9866     0.251381,    3.68405        1.99455  0.532041    8.34168,    7.56596        3.46419    {402.749,-25.6877},  { { 0.019093,0.289567 }, {0.289567, 4.39662} }
  8    7.08169   50.0266         38.516     0.241038,    3.29026        2.06361  0.501393    7.34803,    6.47058        3.08981    {362.441,-24.7312},  { { 0.0198167,0.280671 }, {0.280671, 3.98025} }
  9    6.58428   43.2368        32.5273     0.235837,    2.98974         2.0287  0.497408     6.7898,    5.98872        2.79922    {316.397,-23.1786},  { { 0.0211161,0.278069 }, {0.278069, 3.66677} }
 10    6.10584   37.1716        27.2727     0.227559,    2.66919        2.05198  0.478441    6.06527,    5.25458        2.49346    {278.104,-21.9374},  { { 0.0222842,0.272127 }, {0.272127, 3.32813} }
 11    5.63889   31.6945         22.573     0.220583,    2.38504        2.04324  0.466947    5.47713,    4.69968        2.22152    {240.812,-20.5301},  { { 0.0237754,0.268134 }, {0.268134, 3.02896} }
 12    5.18819   26.8212        18.4634       0.2125,    2.10894        2.05312  0.450704    4.87321,    4.10964        1.95892    {207.697,-19.2091},  { { 0.025369,0.263238 }, {0.263238, 2.73646} }
 13     4.7519   22.4914        14.8724     0.204575,    1.85504        2.05307  0.436288    4.32989,    3.59098         1.7178    {177.051,-17.84},  { { 0.0272629,0.259101 }, {0.259101, 2.46744} }
 14    4.33189   18.6828        11.7817     0.196058,    1.61613        2.05958  0.420007    3.80853,    3.09074          1.492    {149.568,-16.4944},  { { 0.0294214,0.254901 }, {0.254901, 2.21341} }
 15    3.92809   15.3543        9.14628     0.187298,    1.39579        2.06329  0.403798    3.32856,    2.63539        1.28452    {124.746,-15.1333},  { { 0.031983,0.251264 }, {0.251264, 1.97898} }
 16    3.54164   12.4743        6.93452     0.178013,    1.19203        2.07012  0.386452    2.87992,    2.21176        1.09368    {102.676,-13.7778},  { { 0.0350193,0.248052 }, {0.248052, 1.76202} }
 17    3.17313   10.0067        5.10789     0.168254,    1.00571        2.07698  0.368509    2.46764,    1.82663       0.920143    {83.1403,-12.4158},  { { 0.0387123,0.245678 }, {0.245678, 1.56414} }
 18    2.82367   7.91787         3.6312     0.157855,   0.836199        2.08628  0.349459    2.08883,    1.47669       0.763362    {66.0666,-11.0528},  { { 0.0432794,0.244414 }, {0.244414, 1.38529} }
 19    2.49434   6.17333        2.46757     0.146717,     0.6835        2.09766  0.329331    1.74455,    1.16363       0.623251    {51.3052,-9.68521},  { { 0.0490908,0.244899 }, {0.244899, 1.22672} }
 20    2.18658   4.73958        1.58072     0.134647,   0.547272        2.11245  0.307763    1.43375,   0.886853       0.499418    {38.7251,-8.31251},  { { 0.0567375,0.248122 }, {0.248122, 1.09008} }
 21    1.90215   3.58349        0.93405     0.121363,   0.427032        2.13268  0.284435    1.15608,    0.64667       0.391273    {28.1812,-6.93347},  { { 0.0672633,0.255889 }, {0.255889, 0.978478} }
