  i                 x,y         f(x,y)   (s1,s2)    lambdax2-x1, y2-y1, f2-f1     angle       grad, H1
153  -7.71648, -8.50889        138.768
154   9.68983,  10.4798        137.921
155  -7.66309, -8.45064        137.073
156   9.63625,  10.4214        136.225
157  -7.60933, -8.39199        135.377
158   9.58231,  10.3625        134.529
159  -7.55522, -8.33296        133.681
160   9.52803,  10.3033        132.833
161  -7.50076, -8.27356        131.984
162   9.47341,  10.2437        131.137
163  -7.44598,  -8.2138        130.289
164   9.41847,  10.1838        129.441
165  -7.39088, -8.15369        128.594
166   9.36321,  10.1235        127.748
167  -7.33547, -8.09324        126.902
168   9.30765,  10.0629        126.056
169  -7.27976, -8.03247        125.211
170    9.2518,   10.002        124.367
171  -7.22377, -7.97138        123.523
172   9.19567,  9.94073         122.68
173   -7.1675,    -7.91        121.839
174   9.13926,  9.87919        120.998
175  -7.11096, -7.84832        120.158
176    9.0826,  9.81738        119.319
177  -7.05417, -7.78637        118.481
178   9.02569,  9.75529        117.644
179  -6.99714, -7.72415        116.809
180   8.96853,  9.69295        115.975
181  -6.93987, -7.66168        115.142
182   8.91116,  9.63035        114.311
183  -6.88239, -7.59897        113.481
184   8.85356,  9.56752        112.652
185  -6.82469, -7.53602        111.826
186   8.79576,  9.50447            111
187  -6.76679, -7.47286        110.177
188   8.73777,   9.4412        109.355
189   -6.7087, -7.40949        108.535
190   8.67959,  9.37774        107.717
191  -6.65044, -7.34593          106.9
192   8.62124,  9.31408        106.086
193    -6.592, -7.28218        105.274
194   8.56272,  9.25025        104.463
195  -6.53341, -7.21827        103.655
196   8.50406,  9.18624        102.849
197  -6.47467, -7.15419        102.045
198   8.44525,  9.12209        101.243
199   -6.4158, -7.08996        100.444
200   8.38631,  9.05779        99.6465
201  -6.35679, -7.02559        98.8517
202   8.32725,  8.99336        98.0593
203  -6.29768,  -6.9611        97.2694
204   8.26808,  8.92881        96.4819
205  -6.23845,  -6.8965        95.6971
206   8.20881,  8.86415        94.9147
207  -6.17914, -6.83179        94.1351
208   8.14945,   8.7994         93.358
209  -6.11973, -6.76698        92.5837
210   8.09001,  8.73455        91.8121
211  -6.06026,  -6.7021        91.0433
212    8.0305,  8.66963        90.2773
213  -6.00072, -6.63715        89.5142
214   7.97093,  8.60465         88.754
215  -5.94112, -6.57213        87.9967
216   7.91131,  8.53961        87.2423
217  -5.88148, -6.50707         86.491
218   7.85165,  8.47453        85.7427
219  -5.82181, -6.44197        84.9975
220   7.79196,  8.40941        84.2553
221  -5.76211, -6.37685        83.5163
222   7.73225,  8.34428        82.7805
223   -5.7024,  -6.3117        82.0478
224   7.67254,  8.27913        81.3184
225  -5.64268, -6.24656        80.5922
226   7.61282,  8.21398        79.8693
227  -5.58296, -6.18141        79.1497
228   7.55311,  8.14885        78.4335
229  -5.52326, -6.11628        77.7206
230   7.49342,  8.08373        77.0111
231  -5.46358, -6.05118        76.3051
232   7.43375,  8.01864        75.6025
233  -5.40394, -5.98611        74.9033
234   7.37413,   7.9536        74.2076
235  -5.34433, -5.92109        73.5155
236   7.31455,   7.8886        72.8269
237  -5.28478, -5.85612        72.1418
238   7.25502,  7.82366        71.4603
239  -5.22529, -5.79122        70.7824
240   7.19556,   7.7588        70.1082
241  -5.16586, -5.72639        69.4376
242   7.13618,  7.69401        68.7706
243  -5.10651, -5.66165        68.1073
244   7.07687,  7.62932        67.4477
245  -5.04725,   -5.597        66.7918
246   7.01766,  7.56472        66.1397
247  -4.98809, -5.53246        65.4912
248   6.95854,  7.50023        64.8466
249  -4.92902, -5.46803        64.2057
250   6.89953,  7.43586        63.5686
251  -4.87007, -5.40372        62.9353
252   6.84064,  7.37161        62.3058
253  -4.81124, -5.33954        61.6801
254   6.78187,   7.3075        61.0582
255  -4.75254,  -5.2755        60.4402
256   6.72324,  7.24353        59.8261
257  -4.69397, -5.21161        59.2158
258   6.66474,  7.17972        58.6094
259  -4.63555, -5.14787        58.0069
260    6.6064,  7.11607        57.4083
261  -4.57728, -5.08431        56.8136
262   6.54821,  7.05259        56.2227
263  -4.51917, -5.02091        55.6358
264   6.49018,  6.98929        55.0529
265  -4.46123,  -4.9577        54.4738
266   6.43232,  6.92617        53.8987
267  -4.40346, -4.89468        53.3275
